ine5,nom,costaner,dist_m
25163,la Coma i la Pedra,0,93259
25148,Odèn,0,94312
17082,Guils de Cerdanya,0,95243
17024,Bolvir,0,96124
25149,Oliana,0,96617
25165,Peramola,0,96620
17206,Urús,0,98556
17061,Das,0,98604
25115,Isona i Conca Dellà,0,98704
25913,Riu de Cerdanya,0,99387
17078,Ger,0,99510
25910,Josa i Tuixén,0,99529
25002,Àger,0,99636
25051,Bellver de Cerdanya,0,100307
17084,Isòvol,0,100779
25175,Prats i Sansor,0,101549
25098,Gavet de la Conca,0,102062
25908,Fígols i Alinyà,0,102587
25909,la Vansa i Fórnols,0,102673
25139,Montellà i Martinet,0,102745
25128,Llimiana,0,103711
17099,Meranges,0,103869
25077,Coll de Nargó,0,104045
25071,Cava,0,105842
25904,Castell de Mur,0,107483
25196,Sant Esteve de la Sarga,0,108649
25005,Alàs i Cerc,0,108965
25179,Prullans,0,109088
25127,Lles de Cerdanya,0,109862
25001,Abella de la Conca,0,110033
25030,el Pont de Bar,0,111273
25185,Ribera d'Urgellet,0,111898
25155,Organyà,0,112411
25032,Arsèguel,0,113243
25061,Cabó,0,113245
25234,Tremp,0,114789
25215,Talarn,0,115881
25239,les Valls de Valira,0,116337
25088,Estamariu,0,116733
25161,Conca de Dalt,0,117269
25203,la Seu d'Urgell,0,117413
25906,les Valls d'Aguilar,0,118118
25140,Montferrer i Castellbò,0,120679
25190,Salàs de Pallars,0,122435
25039,Baix Pallars,0,123377
25171,la Pobla de Segur,0,124334
25208,Soriguera,0,130463
25202,Senterada,0,131355
25017,Alins,0,132880
25173,el Pont de Suert,0,135084
25227,la Torre de Cabdella,0,135491
25089,Farrera,0,135826
25209,Sort,0,136126
25123,Lladorre,0,136950
25201,Sarroca de Bellera,0,137214
25126,Llavorsí,0,137293
25183,Rialp,0,138158
25087,Esterri de Cardós,0,144767
25221,Tírvia,0,145086
25901,Vall de Cardós,0,147242
25903,la Guingueta d'Àneu,0,149083
25043,la Vall de Boí,0,151592
25082,Espot,0,151914
25024,Alt Àneu,0,155195
25245,Vilaller,0,155287
25086,Esterri d'Àneu,0,157930
25025,Naut Aran,0,163486
25243,Vielha e Mijaran,0,170313
25063,Canejan,0,179723
25057,Es Bòrdes,0,180462
25247,Vilamòs,0,184639
25031,Arres,0,186496
25059,Bossòst,0,187656
25121,Les,0,188786
25045,Bausen,0,191621
