ine5,nom,costaner,dist_m
08082,Fogars de la Selva,0,9187
08180,Ripollet,0,9198
08124,Mollet del Vallès,0,9249
43095,el Morell,0,9275
43089,Montferri,0,9298
17191,Serra de Daró,0,9349
17176,Sant Mori,0,9425
08260,Santa Perpètua de Mogoda,0,9448
43066,els Garidells,0,9519
08135,Montmeló,0,9593
17119,Palau de Santa Eulàlia,0,9617
43074,Llorenç del Penedès,0,9625
43145,la Selva del Camp,0,9802
43031,les Borges del Camp,0,9859
08295,Vallirana,0,9911
43166,Vilallonga del Camp,0,10060
43137,Sant Jaume dels Domenys,0,10161
17187,"Saus, Camallera i Llampaies",0,10273
08211,Sant Feliu de Llobregat,0,10286
17085,Jafre,0,10315
08159,Parets del Vallès,0,10368
17075,Garrigàs,0,10533
43128,Riudecols,0,10581
43017,l'Argentera,0,10685
17126,Parlavà,0,10877
17086,la Jonquera,0,10931
08096,Granollers,0,10997
08252,Barberà del Vallès,0,11068
17203,Ultramort,0,11291
17055,Colomers,0,11350
08068,Cervelló,0,11424
43042,Castellvell del Camp,0,11435
17068,Foixà,0,11440
43149,Tivenys,0,11536
43011,Almoster,0,11569
43053,Duesaigües,0,11690
08263,Sant Vicenç dels Horts,0,11748
43132,Rodonyà,0,11755
43134,el Rourell,0,11784
43160,Vallmoll,0,11786
17044,Cassà de la Selva,0,11831
17106,Mollet de Peralada,0,11863
08046,Cardedeu,0,11944
43063,la Galera,0,12048
08305,Vilafranca del Penedès,0,12113
17222,Vilaür,0,12139
08259,Santa Maria de Palautordera,0,12142
43007,l'Aleixar,0,12159
43151,la Torre de Fontaubella,0,12205
17057,Corçà,0,12232
08206,Sant Cugat Sesgarrigues,0,12237
43081,Maspujols,0,12251
43098,Nulles,0,12331
08065,Castellví de la Marca,0,12381
08198,Sant Antoni de Vilamajor,0,12383
17214,Vilabertran,0,12436
43040,Capçanes,0,12515
17221,Vilafant,0,12580
17193,Sils,0,12591
43138,Santa Bàrbara,0,12632
17030,Cabanes,0,12632
17182,Santa Llogaia d'Àlguema,0,12636
08123,Molins de Rei,0,12749
08273,Subirats,0,12757
43121,Rasquera,0,12775
43080,la Masó,0,13029
43090,el Montmell,0,13079
08108,Lliçà de Vall,0,13118
08167,Polinyà,0,13143
17101,Massanes,0,13216
08904,Badia del Vallès,0,13265
43115,Pradell de la Teixeta,0,13277
43005,Alcover,0,13310
43034,Bràfim,0,13431
08156,Palau-solità i Plegamans,0,13482
17083,Hostalric,0,13496
43009,Alforja,0,13652
08086,les Franqueses del Vallès,0,13732
17026,Borrassà,0,13818
17159,Sant Feliu de Buixalleu,0,13869
08187,Sabadell,0,14123
17166,Sant Jordi Desvalls,0,14152
17153,Rupià,0,14163
08227,Sant Martí Sarroca,0,14206
17216,Viladasens,0,14328
43083,el Milà,0,14353
17158,Sant Climent Sescebes,0,14365
43170,Vila-rodona,0,14490
17016,Bàscara,0,14500
08107,Lliçà d'Amunt,0,14513
43076,Marçà,0,14612
08097,Gualba,0,14622
