ine5,nom,densitat_hab_km2,our_gap_pct,etca_gap_pct,our_lo_pct,our_hi_pct,signe_oposat,classe
08112,Manlleu,1242.7,-9.0,-6.6,-22.4,10.8,0,coincident
08113,Manresa,1917.9,3.7,-0.6,-0.5,27.6,1,soroll
08114,Martorell,2226.6,-17.6,11.0,-20.9,1.4,1,soroll
08115,Martorelles,1374.2,-12.5,5.0,-25.4,6.5,1,soroll
08117,"Masies de Voltregà, les",149.8,-9.2,39.8,-22.6,10.5,1,soroll
08118,"Masnou, el",7258.6,-12.6,-8.5,-32.2,9.6,0,coincident
08119,Masquefa,578.1,-7.9,-10.6,-21.5,12.1,0,coincident
08120,Matadepera,390.0,0.0,-13.0,-14.8,21.7,1,soroll
08121,Mataró,5858.3,-7.4,-3.2,-28.1,16.1,0,coincident
08122,Mediona,55.1,4.1,-4.6,-11.3,26.7,1,soroll
08123,Molins de Rei,1721.5,-15.2,-9.4,-18.6,4.4,0,coincident
08124,Mollet del Vallès,4828.8,-12.8,-6.1,-16.3,7.4,0,coincident
08125,Montcada i Reixac,1581.9,-15.3,-2.9,-18.7,4.2,0,coincident
08126,Montgat,4434.2,-13.3,-11.0,-10.4,3.7,0,coincident
08127,Monistrol de Montserrat,270.4,4.4,-9.2,-11.0,27.1,1,soroll
08131,Montesquiu,225.7,-8.3,-12.1,-21.8,11.6,0,coincident
08134,Figaró-Montmany,79.6,-17.5,-7.2,-29.7,0.4,0,coincident
08135,Montmeló,2242.6,-17.3,-4.6,-20.6,1.8,0,coincident
08136,Montornès del Vallès,1663.9,-13.7,-3.3,-17.2,6.2,0,coincident
08138,Moià,88.7,-8.5,-8.4,-22.1,11.3,0,coincident
08140,Navarcles,1133.0,-4.1,-11.2,-18.3,16.8,0,coincident
08141,Navàs,76.5,-5.6,-8.2,-19.6,14.9,0,coincident
08143,Òdena,70.9,-6.3,-6.4,-20.2,14.0,0,coincident
08145,Olèrdola,132.3,-0.7,21.0,-15.3,20.9,1,soroll
08146,Olesa de Bonesvalls,67.7,-5.8,-10.0,-19.7,14.7,0,coincident
