ine5,municipi,renda_neta_persona_2023
08223,Sant Llorenç Savall,15512
08224,Sant Martí de Centelles,15159
08225,Sant Martí d'Albars,17388
08226,Sant Martí de Tous,16520
08227,Sant Martí Sarroca,15141
08228,Sant Martí Sesgueioles,15798
08229,Sant Mateu de Bages,18167
08230,Premià de Dalt,20304
08231,Sant Pere de Ribes,15889
08232,Sant Pere de Riudebitlles,16042
08233,Sant Pere de Torelló,16070
08234,Sant Pere de Vilamajor,17077
08235,Sant Pol de Mar,19691
08236,Sant Quintí de Mediona,13450
08237,Sant Quirze de Besora,16761
08238,Sant Quirze del Vallès,22038
08239,Sant Quirze Safaja,21338
08240,Sant Sadurní d'Anoia,17614
08241,Sant Sadurní d'Osormort,
08242,Marganell,15921
08243,Santa Cecília de Voltregà,20917
08244,Santa Coloma de Cervelló,18087
08245,Santa Coloma de Gramenet,12584
08246,Santa Eugènia de Berga,16412
08247,Santa Eulàlia de Riuprimer,17260
08248,Santa Eulàlia de Ronçana,16594
08249,Santa Fe del Penedès,17004
08250,Santa Margarida de Montbui,12594
08251,Santa Margarida i els Monjos,14066
08252,Barberà del Vallès,15932
08253,Santa Maria de Besora,15620
08254,"Esquirol, L'",16890
08255,Santa Maria de Merlès,19187
08256,Santa Maria de Martorelles,18213
08257,Santa Maria de Miralles,17586
08258,Santa Maria d'Oló,15668
08259,Santa Maria de Palautordera,16680
08260,Santa Perpètua de Mogoda,15657
08261,Santa Susanna,15817
08262,Sant Vicenç de Castellet,14060
08263,Sant Vicenç dels Horts,15183
08264,Sant Vicenç de Montalt,23697
08265,Sant Vicenç de Torelló,17698
08266,Cerdanyola del Vallès,17925
08267,Sentmenat,16282
08268,Cercs,16168
08269,Seva,18660
08270,Sitges,21387
08271,Sobremunt,
08272,Sora,15684
08273,Subirats,16441
08274,Súria,16442
08275,Tavèrnoles,21708
08276,Tagamanent,17984
08277,Talamanca,17427
08278,Taradell,17866
08279,Terrassa,15337
08280,Tavertet,19200
08281,Teià,23351
