ine5,municipi,tipus_territorial,densitat_hab_km2,etca,kwh_dom,base_implied,base_pred,err_regressio_pct,err_loo_pct
08083,Folgueroles,interior_rural,206.6,2007.0,3236810,1613.0,1787.0,-9.8,-9.9
08084,Fonollosa,interior_rural,30.3,1412.0,3349933,2372.0,1818.0,30.5,30.8
08085,Font-rubí,interior_rural,38.7,1304.0,2479520,1901.0,1750.0,8.7,8.7
08086,"Franqueses del Vallès, les",interior_rural,704.1,19770.0,23229673,1175.0,1299.0,-9.5,-9.6
08087,Gallifa,interior_rural,10.7,,383875,,2212.0,,
08088,"Garriga, la",interior_rural,907.6,16206.0,20477326,1264.0,1424.0,-11.3,-11.3
08090,Gaià,interior_rural,4.5,,359481,,1920.0,,
08091,Gelida,interior_rural,306.4,6868.0,12294228,1790.0,1486.0,20.4,20.5
08092,Gironella,interior_rural,737.4,4760.0,6419538,1349.0,1237.0,9.0,9.1
08093,Gisclareny,interior_rural,0.8,,67064,,2067.0,,
08094,"Granada, la",interior_rural,354.5,2045.0,3037249,1485.0,1450.0,2.4,2.4
08097,Gualba,interior_rural,75.6,1750.0,2744308,1568.0,1791.0,-12.4,-12.5
08098,Sant Salvador de Guardiola,interior_rural,93.7,3205.0,5511559,1720.0,1539.0,11.7,11.8
08099,Guardiola de Berguedà,interior_rural,15.3,1005.0,1377554,1371.0,1617.0,-15.2,-15.4
08100,Gurb,interior_rural,52.6,3413.0,5375321,1575.0,1862.0,-15.4,-15.7
08103,Jorba,interior_rural,26.7,,1401064,,1824.0,,
08104,"Llacuna, la",interior_rural,18.9,,1994014,,1792.0,,
08106,Llinars del Vallès,interior_rural,387.4,10720.0,14754322,1376.0,1443.0,-4.6,-4.6
08107,Lliçà d'Amunt,interior_rural,725.3,14598.0,23516832,1611.0,1466.0,9.9,9.9
08108,Lliçà de Vall,interior_rural,639.8,7233.0,9941579,1374.0,1381.0,-0.4,-0.4
08109,Lluçà,interior_rural,5.4,,349740,,1837.0,,
08111,Malla,interior_rural,25.0,,812403,,2124.0,,
08112,Manlleu,interior_rural,1242.7,19889.0,22339268,1123.0,1153.0,-2.6,-2.6
08115,Martorelles,interior_rural,1374.2,5231.0,5849329,1118.0,1341.0,-16.6,-16.7
08116,"Masies de Roda, les",interior_rural,45.7,,1073282,,1717.0,,
08117,"Masies de Voltregà, les",interior_rural,149.8,4601.0,4423158,961.0,1480.0,-35.0,-35.1
08119,Masquefa,interior_rural,578.1,8955.0,12896404,1440.0,1397.0,3.1,3.1
08120,Matadepera,interior_rural,390.0,8577.0,18891537,2203.0,1915.0,15.0,16.0
08122,Mediona,interior_rural,55.1,2510.0,3944737,1572.0,1440.0,9.1,9.2
08127,Monistrol de Montserrat,interior_rural,270.4,2894.0,5189530,1793.0,1559.0,15.0,15.2
08128,Monistrol de Calders,interior_rural,34.6,,1170545,,1696.0,,
08129,Muntanyola,interior_rural,17.6,,1190024,,1971.0,,
08130,Montclar,interior_rural,6.1,,250091,,1745.0,,
08131,Montesquiu,interior_rural,225.7,963.0,1262997,1312.0,1258.0,4.2,4.3
08132,Montmajor,interior_rural,6.2,,937062,,1778.0,,
08133,Montmaneu,interior_rural,14.8,,227432,,1770.0,,
08134,Figaró-Montmany,interior_rural,79.6,1104.0,1374988,1245.0,1400.0,-11.0,-11.1
08137,Montseny,interior_rural,14.3,,670993,,2011.0,,
08138,Moià,interior_rural,88.7,6149.0,9377006,1525.0,1527.0,-0.2,-0.2
08139,Mura,interior_rural,4.9,,493649,,2011.0,,
08140,Navarcles,interior_rural,1133.0,5471.0,7791960,1424.0,1319.0,8.0,8.0
08141,Navàs,interior_rural,76.5,5677.0,8241176,1452.0,1412.0,2.8,2.9
08142,"Nou de Berguedà, la",interior_rural,6.4,,316714,,1888.0,,
08143,Òdena,interior_rural,70.9,3459.0,5104532,1476.0,1475.0,0.0,0.0
08144,Olvan,interior_rural,25.4,,1368566,,1727.0,,
08145,Olèrdola,interior_rural,132.3,4766.0,6165135,1294.0,1576.0,-17.9,-17.9
08146,Olesa de Bonesvalls,interior_rural,67.7,1882.0,3442953,1829.0,1747.0,4.7,4.8
08147,Olesa de Montserrat,interior_rural,1495.5,22270.0,27783633,1248.0,1266.0,-1.5,-1.5
08148,Olivella,interior_rural,115.6,4157.0,8361447,2011.0,1669.0,20.5,20.7
08149,Olost,interior_rural,41.6,1297.0,2120613,1635.0,1836.0,-11.0,-11.1
08150,Orís,interior_rural,12.9,,682877,,1934.0,,
08151,Oristà,interior_rural,8.3,,975756,,1849.0,,
08152,Orpí,interior_rural,11.8,,234699,,1840.0,,
08153,Òrrius,interior_rural,144.3,,1428076,,1760.0,,
08154,Pacs del Penedès,interior_rural,155.2,,1487423,,1995.0,,
08155,Palafolls,interior_rural,602.4,9734.0,12327810,1266.0,1292.0,-2.0,-2.0
08156,Palau-solità i Plegamans,interior_rural,1033.5,15798.0,20177214,1277.0,1397.0,-8.6,-8.6
08158,"Papiol, el",interior_rural,496.9,4034.0,5152466,1277.0,1410.0,-9.4,-9.5
08160,Perafita,interior_rural,22.1,,914186,,1816.0,,
08161,Piera,interior_rural,307.7,15460.0,24270413,1570.0,1389.0,13.0,13.1
