ine5,municipi,tipus_territorial,densitat_hab_km2,etca,kwh_dom,base_implied,base_pred,err_regressio_pct,err_loo_pct
17101,Massanes,interior_rural,32.5,,1298331,,1568.0,,
17102,Maçanet de Cabrenys,interior_rural,11.3,,1392437,,1703.0,,
17103,Maçanet de la Selva,interior_rural,174.2,8281.0,12039016,1454.0,1333.0,9.1,9.1
17105,Mieres,interior_rural,13.2,,544657,,1765.0,,
17106,Mollet de Peralada,interior_rural,35.2,,295455,,1760.0,,
17107,Molló,interior_rural,8.6,,859585,,1828.0,,
17109,Montagut i Oix,interior_rural,10.6,943.0,1449890,1538.0,1862.0,-17.4,-17.6
17111,Navata,interior_rural,79.3,1552.0,3228734,2080.0,1714.0,21.4,21.5
17112,Ogassa,interior_rural,4.8,,406699,,1923.0,,
17114,Olot,interior_rural,1326.7,36903.0,41793904,1133.0,1203.0,-5.9,-5.9
17115,Ordis,interior_rural,46.3,,702624,,1783.0,,
17116,Osor,interior_rural,8.2,,661204,,1815.0,,
17119,Palau de Santa Eulàlia,interior_rural,15.7,,260631,,2167.0,,
17120,Palau-saverdera,interior_rural,89.5,1444.0,3855297,2670.0,1662.0,60.7,61.3
17121,Palau-sator,interior_rural,24.7,,1498985,,2077.0,,
17123,Palol de Revardit,interior_rural,25.7,,845123,,1847.0,,
17125,Pardines,interior_rural,5.1,,306072,,1904.0,,
17126,Parlavà,interior_rural,68.3,,1069252,,1732.0,,
17128,Pau,interior_rural,55.5,,1346273,,1678.0,,
17129,Pedret i Marzà,interior_rural,21.5,,361325,,1792.0,,
17130,"Pera, la",interior_rural,38.1,,1302104,,1906.0,,
17132,Peralada,interior_rural,46.2,2087.0,4822378,2311.0,1911.0,20.9,21.2
17133,"Planes d'Hostoles, les",interior_rural,46.6,1646.0,2700423,1641.0,1715.0,-4.3,-4.4
17134,Planoles,interior_rural,16.2,,677335,,1953.0,,
17135,Pont de Molins,interior_rural,66.0,,797271,,1721.0,,
17136,Pontós,interior_rural,21.3,,520884,,1782.0,,
17137,Porqueres,interior_rural,141.7,4296.0,6840284,1592.0,1501.0,6.1,6.1
17139,"Preses, les",interior_rural,205.6,2134.0,2636071,1235.0,1488.0,-17.0,-17.0
17141,Puigcerdà,interior_rural,530.5,12281.0,13959950,1137.0,1155.0,-1.6,-1.6
17142,Quart,interior_rural,107.1,3462.0,5805824,1677.0,1545.0,8.6,8.6
17143,Rabós,interior_rural,5.2,,465401,,1757.0,,
17144,Regencós,interior_rural,44.4,,721765,,1654.0,,
17145,Ribes de Freser,interior_rural,44.0,2199.0,2947403,1340.0,1767.0,-24.1,-24.3
17146,Riells i Viabrea,interior_rural,165.6,4109.0,8051029,1959.0,1573.0,24.5,24.7
17147,Ripoll,interior_rural,145.4,11020.0,11636377,1056.0,1322.0,-20.1,-20.3
17148,Riudarenes,interior_rural,51.3,2773.0,4283940,1545.0,1505.0,2.6,2.6
17149,Riudaura,interior_rural,22.2,,698717,,1782.0,,
17150,Riudellots de la Selva,interior_rural,159.4,4023.0,4273582,1062.0,1553.0,-31.6,-31.7
17151,Riumors,interior_rural,40.0,,416422,,1738.0,,
17153,Rupià,interior_rural,61.3,,957516,,1905.0,,
17154,Sales de Llierca,interior_rural,4.3,,345370,,1890.0,,
17157,Sant Andreu Salou,interior_rural,30.2,,417420,,1869.0,,
17158,Sant Climent Sescebes,interior_rural,27.6,,890334,,1757.0,,
17159,Sant Feliu de Buixalleu,interior_rural,14.1,1018.0,2032024,1996.0,1811.0,10.2,10.3
17161,Sant Feliu de Pallerols,interior_rural,49.0,1519.0,2308240,1520.0,1794.0,-15.3,-15.4
17162,Sant Ferriol,interior_rural,5.5,,306403,,1716.0,,
17163,Sant Gregori,interior_rural,86.3,4446.0,7064695,1589.0,1750.0,-9.2,-9.3
17164,Sant Hilari Sacalm,interior_rural,71.8,5730.0,6668236,1164.0,1612.0,-27.8,-28.0
17165,Sant Jaume de Llierca,interior_rural,121.1,1276.0,1109783,870.0,1422.0,-38.8,-39.0
17166,Sant Jordi Desvalls,interior_rural,72.4,,1931978,,1684.0,,
17167,Sant Joan de les Abadesses,interior_rural,62.2,3404.0,4363949,1282.0,1436.0,-10.7,-10.9
17168,Sant Joan de Mollet,interior_rural,161.7,,701945,,1470.0,,
17169,Sant Julià de Ramis,interior_rural,194.5,3176.0,5546029,1746.0,1569.0,11.3,11.4
17170,Vallfogona de Ripollès,interior_rural,5.7,,430185,,1887.0,,
17171,Sant Llorenç de la Muga,interior_rural,7.9,,556702,,1822.0,,
17172,Sant Martí de Llémena,interior_rural,16.4,,1420783,,1831.0,,
17173,Sant Martí Vell,interior_rural,15.1,,724423,,1799.0,,
17174,Sant Miquel de Campmajor,interior_rural,7.4,,541525,,1831.0,,
17175,Sant Miquel de Fluvià,interior_rural,237.1,,1147026,,1450.0,,
17176,Sant Mori,interior_rural,21.9,,500889,,2102.0,,
17177,Sant Pau de Segúries,interior_rural,81.7,,1096355,,1466.0,,
17180,Santa Coloma de Farners,interior_rural,195.3,13234.0,17469945,1320.0,1334.0,-1.1,-1.1
17182,Santa Llogaia d'Àlguema,interior_rural,206.8,,593154,,1361.0,,
17183,Sant Aniol de Finestres,interior_rural,7.6,,549211,,2010.0,,
17184,Santa Pau,interior_rural,32.9,1629.0,2477906,1521.0,1876.0,-18.9,-19.1
17185,Sant Joan les Fonts,interior_rural,96.1,3456.0,3652953,1057.0,1474.0,-28.3,-28.5
17186,Sarrià de Ter,interior_rural,1264.3,4969.0,5910165,1189.0,1253.0,-5.1,-5.1
17187,"Saus, Camallera i Llampaies",interior_rural,78.2,1001.0,1827262,1825.0,1685.0,8.3,8.4
17189,"Cellera de Ter, la",interior_rural,136.8,1923.0,3000287,1560.0,1640.0,-4.9,-4.9
17190,Serinyà,interior_rural,69.1,1105.0,1579635,1430.0,1463.0,-2.3,-2.3
17191,Serra de Daró,interior_rural,29.3,,728121,,1713.0,,
17192,Setcases,interior_rural,3.9,,609002,,1901.0,,
17193,Sils,interior_rural,222.8,6624.0,10890454,1644.0,1419.0,15.8,15.9
17195,"Tallada d'Empordà, la",interior_rural,28.4,,1398979,,2103.0,,
17196,Terrades,interior_rural,16.3,,587597,,1797.0,,
17197,Torrent,interior_rural,21.9,,1131036,,2219.0,,
17198,Torroella de Fluvià,interior_rural,45.3,,1587323,,1725.0,,
17200,Tortellà,interior_rural,74.4,,1117107,,1695.0,,
17201,Toses,interior_rural,3.3,,363536,,2032.0,,
17203,Ultramort,interior_rural,48.6,,578220,,1719.0,,
17204,Ullà,interior_rural,162.4,1174.0,1505615,1282.0,1266.0,1.3,1.3
17205,Ullastret,interior_rural,23.9,,847474,,1949.0,,
17206,Urús,interior_rural,11.8,,939556,,2203.0,,
17207,"Vall d'en Bas, la",interior_rural,35.3,2990.0,4757626,1591.0,1815.0,-12.4,-12.4
17208,"Vall de Bianya, la",interior_rural,14.3,1507.0,2057579,1365.0,1694.0,-19.4,-19.6
17209,Vall-llobrega,interior_rural,166.0,1090.0,2039358,1871.0,1605.0,16.5,16.6
17210,Ventalló,interior_rural,35.4,,2325525,,1801.0,,
17211,Verges,interior_rural,124.9,1187.0,2058001,1734.0,1649.0,5.2,5.2
17212,Vidrà,interior_rural,4.9,,245283,,1909.0,,
17213,Vidreres,interior_rural,179.5,8685.0,14024022,1615.0,1402.0,15.1,15.2
17214,Vilabertran,interior_rural,431.9,,1292413,,1539.0,,
17215,Vilablareix,interior_rural,611.3,3658.0,5504344,1505.0,1524.0,-1.3,-1.3
17216,Viladasens,interior_rural,13.6,,470477,,1859.0,,
17217,Viladamat,interior_rural,41.5,,991765,,1803.0,,
17218,Vilademuls,interior_rural,13.8,,1947627,,1852.0,,
17220,Viladrau,interior_rural,23.0,1562.0,3423096,2191.0,1856.0,18.0,18.2
17221,Vilafant,interior_rural,679.9,5163.0,6822208,1321.0,1353.0,-2.3,-2.3
17222,Vilaür,interior_rural,29.9,,391152,,1825.0,,
17223,Vilajuïga,interior_rural,88.8,1047.0,1817202,1736.0,1644.0,5.6,5.6
17224,Vilallonga de Ter,interior_rural,6.1,,1340788,,1982.0,,
17225,Vilamacolum,interior_rural,64.0,,824872,,1672.0,,
17226,Vilamalla,interior_rural,136.4,1621.0,1876069,1157.0,1581.0,-26.8,-26.9
17227,Vilamaniscle,interior_rural,36.4,,427827,,1803.0,,
17228,Vilanant,interior_rural,23.4,,905269,,1898.0,,
17230,Vila-sacra,interior_rural,134.3,,1038517,,1582.0,,
17232,Vilopriu,interior_rural,12.7,,797643,,2108.0,,
17233,Vilobí d'Onyar,interior_rural,101.4,3305.0,5788628,1751.0,1744.0,0.4,0.4
17234,Biure,interior_rural,22.3,,411857,,1717.0,,
17901,"Cruïlles, Monells i Sant Sadurní de l'Heura",interior_rural,13.2,1388.0,3025321,2180.0,1901.0,14.7,14.9
17902,Forallac,interior_rural,34.9,1842.0,5022606,2727.0,1705.0,59.9,60.6
17903,Sant Julià del Llor i Bonmatí,interior_rural,143.8,1115.0,1897524,1702.0,1630.0,4.4,4.4
25001,Abella de la Conca,interior_rural,2.0,,184200,,1712.0,,
25002,Àger,interior_rural,3.8,,824444,,1796.0,,
25003,Agramunt,interior_rural,70.5,5226.0,8503485,1627.0,1415.0,15.0,15.1
25004,"Alamús, els",interior_rural,39.3,,1253840,,1518.0,,
25005,Alàs i Cerc,interior_rural,5.6,,699539,,1741.0,,
25006,"Albagés, l'",interior_rural,13.2,,401200,,1633.0,,
25007,Albatàrrec,interior_rural,212.0,1949.0,2327317,1194.0,1267.0,-5.7,-5.8
25008,Albesa,interior_rural,41.8,1423.0,2251599,1582.0,1637.0,-3.3,-3.3
25009,"Albi, l'",interior_rural,23.5,,1015368,,1632.0,,
25010,Alcanó,interior_rural,11.3,,392779,,1662.0,,
25011,Alcarràs,interior_rural,89.4,9681.0,13655748,1411.0,1245.0,13.3,13.5
25012,Alcoletge,interior_rural,216.8,3259.0,4644908,1425.0,1271.0,12.1,12.3
25013,Alfarràs,interior_rural,243.3,2446.0,3489839,1427.0,1180.0,20.9,21.2
25014,Alfés,interior_rural,8.9,,513533,,1799.0,,
25015,Algerri,interior_rural,7.8,,765669,,1741.0,,
25016,Alguaire,interior_rural,59.5,2751.0,4092803,1488.0,1368.0,8.8,8.9
25017,Alins,interior_rural,1.5,,158414,,1884.0,,
25019,Almacelles,interior_rural,143.6,6488.0,8318517,1282.0,1251.0,2.5,2.6
25020,Almatret,interior_rural,5.4,,430062,,1864.0,,
25021,Almenar,interior_rural,49.8,3125.0,4958537,1587.0,1373.0,15.6,15.8
25022,Alòs de Balaguer,interior_rural,1.7,,237168,,1939.0,,
25023,Alpicat,interior_rural,427.6,5324.0,10341007,1942.0,1497.0,29.7,30.0
25024,Alt Àneu,interior_rural,2.1,,1174128,,2074.0,,
25025,Naut Aran,interior_rural,7.3,4272.0,13081852,3062.0,1933.0,58.4,60.4
25027,Anglesola,interior_rural,58.1,1368.0,2559846,1871.0,1415.0,32.3,32.6
25029,Arbeca,interior_rural,35.9,1904.0,2866745,1506.0,1592.0,-5.4,-5.5
25030,"Pont de Bar, el",interior_rural,3.7,,262060,,1850.0,,
25032,Arsèguel,interior_rural,8.0,,181498,,1949.0,,
25033,Artesa de Lleida,interior_rural,63.7,1375.0,2143736,1559.0,1664.0,-6.3,-6.4
25034,Artesa de Segre,interior_rural,19.9,3237.0,5975357,1846.0,1449.0,27.4,27.9
25035,"Sentiu de Sió, la",interior_rural,15.4,,748507,,1805.0,,
25036,Aspa,interior_rural,21.7,,283679,,1544.0,,
25037,"Avellanes i Santa Linya, les",interior_rural,4.2,,715645,,1828.0,,
25038,Aitona,interior_rural,38.7,2416.0,3422405,1417.0,1410.0,0.4,0.4
25039,Baix Pallars,interior_rural,2.6,,673847,,1928.0,,
25040,Balaguer,interior_rural,307.4,16722.0,20128596,1204.0,1166.0,3.3,3.3
25041,Barbens,interior_rural,116.3,,1054316,,1482.0,,
25042,"Baronia de Rialb, la",interior_rural,1.6,,407667,,2027.0,,
25043,"Vall de Boí, la",interior_rural,5.0,2040.0,3375415,1655.0,1917.0,-13.7,-13.9
25044,Bassella,interior_rural,2.9,,292701,,1869.0,,
25046,Belianes,interior_rural,32.9,,892315,,1604.0,,
25047,Bellcaire d'Urgell,interior_rural,39.4,1216.0,2090345,1719.0,1409.0,22.0,22.4
25048,Bell-lloc d'Urgell,interior_rural,67.0,2139.0,3198917,1496.0,1403.0,6.6,6.6
25049,Bellmunt d'Urgell,interior_rural,35.3,,264862,,1674.0,,
25050,Bellpuig,interior_rural,150.0,4971.0,6311687,1270.0,1248.0,1.7,1.7
25051,Bellver de Cerdanya,interior_rural,22.3,2872.0,5564725,1938.0,1876.0,3.3,3.3
25052,Bellvís,interior_rural,48.6,2008.0,3368073,1677.0,1519.0,10.5,10.5
25053,Benavent de Segrià,interior_rural,210.4,1312.0,2194271,1672.0,1429.0,17.0,17.1
25055,Biosca,interior_rural,2.7,,455667,,1835.0,,
25056,Bovera,interior_rural,7.7,,361355,,1540.0,,
25057,"Bòrdes, Es",interior_rural,12.9,,596629,,1930.0,,
25058,"Borges Blanques, les",interior_rural,103.2,6239.0,8448274,1354.0,1333.0,1.6,1.6
25059,Bossòst,interior_rural,40.5,1082.0,1808096,1671.0,1478.0,13.1,13.3
25061,Cabó,interior_rural,1.1,,141595,,2059.0,,
25062,Camarasa,interior_rural,5.2,1000.0,1767657,1768.0,1897.0,-6.8,-6.9
25063,Canejan,interior_rural,2.1,,195744,,2005.0,,
25064,Castellar de la Ribera,interior_rural,2.4,,331349,,1680.0,,
25067,Castelldans,interior_rural,13.9,,1331237,,1694.0,,
25068,Castellnou de Seana,interior_rural,44.6,,1136966,,1384.0,,
25069,Castelló de Farfanya,interior_rural,10.3,,706644,,1703.0,,
25070,Castellserà,interior_rural,62.2,,1587186,,1621.0,,
25071,Cava,interior_rural,1.0,,130416,,2064.0,,
25072,Cervera,interior_rural,173.2,9014.0,11711729,1299.0,1264.0,2.8,2.8
25073,Cervià de les Garrigues,interior_rural,18.9,,967776,,1578.0,,
25074,Ciutadilla,interior_rural,11.8,,310985,,1735.0,,
25075,Clariana de Cardener,interior_rural,3.9,,230381,,1828.0,,
25076,"Cogul, el",interior_rural,9.3,,222348,,1626.0,,
25077,Coll de Nargó,interior_rural,3.8,,1343259,,1819.0,,
25078,Corbins,interior_rural,70.9,1431.0,2048541,1432.0,1450.0,-1.3,-1.3
25079,Cubells,interior_rural,8.7,,552194,,1785.0,,
25081,"Espluga Calba, l'",interior_rural,15.6,,461541,,1415.0,,
25082,Espot,interior_rural,3.8,,851850,,2050.0,,
25085,Estaràs,interior_rural,7.7,,270895,,1888.0,,
25086,Esterri d'Àneu,interior_rural,109.9,1299.0,1965712,1513.0,1673.0,-9.5,-9.6
25088,Estamariu,interior_rural,6.3,,175986,,1699.0,,
25089,Farrera,interior_rural,2.0,,149093,,1833.0,,
25092,"Floresta, la",interior_rural,29.4,,203205,,1822.0,,
25093,Fondarella,interior_rural,148.8,,1016298,,1377.0,,
25094,Foradada,interior_rural,6.9,,476831,,1758.0,,
25096,"Fuliola, la",interior_rural,112.6,1127.0,1782129,1581.0,1518.0,4.2,4.2
25098,Gavet de la Conca,interior_rural,2.9,,384419,,1848.0,,
25099,Golmés,interior_rural,115.1,1706.0,2827503,1657.0,1387.0,19.5,19.6
25100,Gósol,interior_rural,3.8,,472655,,1903.0,,
25101,"Granadella, la",interior_rural,9.2,,912207,,1719.0,,
25102,"Granja d'Escarp, la",interior_rural,24.6,,1536886,,1622.0,,
25103,Granyanella,interior_rural,5.9,,258785,,1822.0,,
25104,Granyena de Segarra,interior_rural,8.9,,253753,,1805.0,,
25105,Granyena de les Garrigues,interior_rural,8.1,,279375,,1614.0,,
25109,Guimerà,interior_rural,9.8,,531620,,1583.0,,
25110,Guissona,interior_rural,414.8,7891.0,9793665,1241.0,1238.0,0.3,0.3
25111,Guixers,interior_rural,2.0,,308265,,2068.0,,
25112,Ivars de Noguera,interior_rural,11.8,,428047,,1707.0,,
25113,Ivars d'Urgell,interior_rural,65.8,1412.0,2219444,1572.0,1436.0,9.4,9.5
25114,Ivorra,interior_rural,6.7,,136196,,1849.0,,
25115,Isona i Conca Dellà,interior_rural,7.4,1135.0,2197848,1936.0,1742.0,11.2,11.3
25118,Juncosa,interior_rural,5.1,,479592,,1655.0,,
25119,Juneda,interior_rural,74.8,3215.0,4825114,1501.0,1378.0,8.9,9.0
25120,Lleida,interior_rural,682.9,149231.0,180572165,1210.0,1240.0,-2.4,-2.4
25121,Les,interior_rural,43.8,1090.0,1309833,1202.0,1770.0,-32.1,-32.3
25122,Linyola,interior_rural,94.9,2420.0,4048158,1673.0,1325.0,26.3,26.5
25123,Lladorre,interior_rural,1.7,,475492,,2016.0,,
25124,Lladurs,interior_rural,1.4,,414945,,1898.0,,
25125,Llardecans,interior_rural,6.5,,871352,,1750.0,,
25126,Llavorsí,interior_rural,4.9,,273567,,1969.0,,
25127,Lles de Cerdanya,interior_rural,2.8,,754945,,1937.0,,
25128,Llimiana,interior_rural,3.2,,462508,,1747.0,,
25129,Llobera,interior_rural,5.3,,338217,,1713.0,,
25130,Maldà,interior_rural,7.6,,358085,,1751.0,,
25131,Massalcoreig,interior_rural,42.3,,746056,,1491.0,,
25132,Massoteres,interior_rural,8.1,,316977,,1782.0,,
25133,Maials,interior_rural,16.2,,1378812,,1600.0,,
25134,Menàrguens,interior_rural,38.6,,1117926,,1640.0,,
25135,Miralcamp,interior_rural,93.5,1369.0,1890665,1381.0,1288.0,7.2,7.3
25136,"Molsosa, la",interior_rural,3.9,,368991,,1877.0,,
25138,Montgai,interior_rural,22.0,,998966,,1702.0,,
25139,Montellà i Martinet,interior_rural,11.7,,1148503,,1828.0,,
25140,Montferrer i Castellbò,interior_rural,6.5,1200.0,2329131,1941.0,1772.0,9.6,9.7
25141,Montoliu de Segarra,interior_rural,6.2,,320853,,1864.0,,
25142,Montoliu de Lleida,interior_rural,64.6,,547491,,1605.0,,
25146,Navès,interior_rural,2.1,,972561,,1818.0,,
25148,Odèn,interior_rural,2.0,,377059,,1896.0,,
25149,Oliana,interior_rural,56.8,1956.0,2310637,1181.0,1663.0,-29.0,-29.1
25150,Oliola,interior_rural,2.3,,319661,,2006.0,,
25151,Olius,interior_rural,18.4,937.0,1837167,1961.0,1672.0,17.3,17.4
25152,"Oluges, les",interior_rural,8.7,,265931,,1894.0,,
25153,"Omellons, els",interior_rural,17.2,,300656,,1685.0,,
25154,"Omells de na Gaia, els",interior_rural,9.3,,184215,,1681.0,,
25155,Organyà,interior_rural,63.1,,1490439,,1484.0,,
25156,Os de Balaguer,interior_rural,7.9,965.0,1632719,1692.0,1783.0,-5.1,-5.1
25157,Ossó de Sió,interior_rural,7.5,,377225,,1850.0,,
25158,"Palau d'Anglesola, el",interior_rural,178.7,1991.0,3166788,1591.0,1401.0,13.5,13.6
25161,Conca de Dalt,interior_rural,2.6,,721865,,2010.0,,
25163,"Coma i la Pedra, la",interior_rural,4.6,,1229541,,1991.0,,
25164,Penelles,interior_rural,17.2,,624264,,1891.0,,
25165,Peramola,interior_rural,6.2,,651489,,1816.0,,
25166,Pinell de Solsonès,interior_rural,2.2,,331733,,1864.0,,
25167,Pinós,interior_rural,2.7,,665162,,1820.0,,
25168,"Poal, el",interior_rural,73.8,,1000777,,1659.0,,
25169,"Pobla de Cérvoles, la",interior_rural,3.4,,371479,,1838.0,,
25170,Bellaguarda,interior_rural,14.6,,377526,,1579.0,,
25171,"Pobla de Segur, la",interior_rural,90.6,2951.0,6459369,2189.0,1672.0,30.9,31.2
25172,Ponts,interior_rural,85.1,2472.0,4671600,1890.0,1337.0,41.4,41.9
25173,"Pont de Suert, el",interior_rural,16.1,2763.0,3325611,1204.0,1740.0,-30.8,-31.0
25174,"Portella, la",interior_rural,58.6,,923429,,1569.0,,
25175,Prats i Sansor,interior_rural,37.3,,1814893,,2110.0,,
25176,Preixana,interior_rural,19.0,,659470,,1760.0,,
25177,Preixens,interior_rural,13.5,,668833,,1730.0,,
25179,Prullans,interior_rural,11.8,,596532,,1758.0,,
25180,Puiggròs,interior_rural,26.2,,518465,,1729.0,,
25181,Puigverd d'Agramunt,interior_rural,11.7,,211641,,1669.0,,
25182,Puigverd de Lleida,interior_rural,114.3,1198.0,2029065,1694.0,1625.0,4.2,4.3
25183,Rialp,interior_rural,10.4,1024.0,1340544,1309.0,1702.0,-23.1,-23.4
25185,Ribera d'Urgellet,interior_rural,8.9,,1586907,,1713.0,,
25186,Riner,interior_rural,5.5,,447864,,1835.0,,
25189,Rosselló,interior_rural,335.3,2992.0,3866977,1292.0,1252.0,3.2,3.3
25190,Salàs de Pallars,interior_rural,16.7,,661583,,1885.0,,
25191,Sanaüja,interior_rural,11.7,,754482,,1755.0,,
25192,Sant Guim de Freixenet,interior_rural,48.4,1106.0,1753882,1586.0,1365.0,16.2,16.4
25193,Sant Llorenç de Morunys,interior_rural,212.0,1272.0,2711946,2132.0,1725.0,23.6,23.9
25194,Sant Ramon,interior_rural,26.2,,713215,,1773.0,,
25196,Sant Esteve de la Sarga,interior_rural,1.3,,149710,,1993.0,,
25197,Sant Guim de la Plana,interior_rural,15.7,,271308,,1785.0,,
25200,Sarroca de Lleida,interior_rural,9.2,,587939,,1645.0,,
25201,Sarroca de Bellera,interior_rural,1.3,,355996,,2134.0,,
25202,Senterada,interior_rural,4.5,,469795,,2013.0,,
25203,"Seu d'Urgell, la",interior_rural,817.3,12574.0,18394313,1463.0,1219.0,20.0,20.1
25204,Seròs,interior_rural,22.1,1829.0,2850079,1558.0,1391.0,12.0,12.2
25205,Sidamon,interior_rural,94.9,,1074583,,1639.0,,
25206,"Soleràs, el",interior_rural,25.3,,552621,,1597.0,,
25207,Solsona,interior_rural,531.5,9549.0,12523234,1311.0,1237.0,6.1,6.1
25208,Soriguera,interior_rural,4.1,,547294,,1838.0,,
25209,Sort,interior_rural,21.4,3192.0,3972221,1244.0,1773.0,-29.8,-30.0
25210,Soses,interior_rural,62.3,1850.0,2608275,1410.0,1580.0,-10.8,-10.9
25211,Sudanell,interior_rural,111.0,,1095666,,1657.0,,
25212,Sunyer,interior_rural,24.5,,425026,,1659.0,,
25215,Talarn,interior_rural,19.4,,621906,,1795.0,,
25216,Talavera,interior_rural,9.3,,352254,,1835.0,,
25217,Tàrrega,interior_rural,211.3,17705.0,23100442,1305.0,1220.0,6.9,7.0
25218,Tarrés,interior_rural,9.6,,130281,,1501.0,,
25219,Tarroja de Segarra,interior_rural,21.9,,205690,,1741.0,,
25220,Térmens,interior_rural,48.7,1366.0,2079387,1522.0,1668.0,-8.7,-8.8
25221,Tírvia,interior_rural,16.5,,228655,,1669.0,,
25223,Torà,interior_rural,13.4,1232.0,1780652,1445.0,1766.0,-18.2,-18.3
25224,"Torms, els",interior_rural,10.3,,192489,,1698.0,,
25225,Tornabous,interior_rural,41.8,,1404277,,1609.0,,
25226,Torrebesses,interior_rural,9.9,,432675,,1676.0,,
25227,"Torre de Cabdella, la",interior_rural,4.7,,3821639,,2159.0,,
25228,Torrefarrera,interior_rural,208.9,4724.0,6567962,1390.0,1363.0,2.0,2.0
25230,Torregrossa,interior_rural,55.1,1983.0,3088965,1558.0,1381.0,12.8,12.9
25231,Torrelameu,interior_rural,74.2,,834084,,1447.0,,
25232,Torres de Segre,interior_rural,44.7,2091.0,3627520,1735.0,1590.0,9.1,9.2
25233,Torre-serona,interior_rural,75.0,,559310,,1516.0,,
25234,Tremp,interior_rural,19.9,6414.0,9662383,1506.0,1713.0,-12.1,-12.2
25238,Vallbona de les Monges,interior_rural,6.5,,394820,,1884.0,,
25239,"Valls de Valira, les",interior_rural,4.7,,1124675,,1655.0,,
25240,Vallfogona de Balaguer,interior_rural,74.4,1876.0,2840953,1514.0,1390.0,9.0,9.1
25242,Verdú,interior_rural,24.7,,1230170,,1671.0,,
25243,Vielha e Mijaran,interior_rural,27.0,7427.0,11480781,1546.0,1762.0,-12.3,-12.4
25244,Vilagrassa,interior_rural,32.2,,814795,,1540.0,,
25245,Vilaller,interior_rural,8.5,,987343,,1806.0,,
25247,Vilamòs,interior_rural,11.3,,299314,,2176.0,,
25248,Vilanova de Bellpuig,interior_rural,83.9,1058.0,1721297,1627.0,1628.0,-0.1,-0.1
25249,Vilanova de l'Aguda,interior_rural,3.7,,348091,,1821.0,,
25250,Vilanova de Meià,interior_rural,4.4,,884604,,1844.0,,
25251,Vilanova de Segrià,interior_rural,126.9,896.0,1537247,1716.0,1402.0,22.4,22.5
25252,Vila-sana,interior_rural,39.2,,1172365,,1729.0,,
25253,"Vilosell, el",interior_rural,10.2,,476589,,1846.0,,
25254,Vilanova de la Barca,interior_rural,51.5,1011.0,1604892,1587.0,1532.0,3.6,3.7
25255,Vinaixa,interior_rural,12.0,,639663,,1681.0,,
25901,Vall de Cardós,interior_rural,6.7,,886850,,1914.0,,
25902,Sant Martí de Riucorb,interior_rural,19.4,,1079527,,1656.0,,
25903,"Guingueta d'Àneu, la",interior_rural,2.6,,666558,,2008.0,,
25904,Castell de Mur,interior_rural,2.8,,310653,,1981.0,,
25905,Ribera d'Ondara,interior_rural,8.4,,701469,,1763.0,,
25906,"Valls d'Aguilar, les",interior_rural,2.2,,366648,,1784.0,,
25907,Torrefeta i Florejacs,interior_rural,6.8,,873775,,1809.0,,
25908,Fígols i Alinyà,interior_rural,2.4,,472571,,1786.0,,
25909,"Vansa i Fórnols, la",interior_rural,1.8,,367398,,1870.0,,
25910,Josa i Tuixén,interior_rural,1.8,,312112,,1931.0,,
25911,"Plans de Sió, els",interior_rural,9.3,,782010,,1855.0,,
25912,Gimenells i el Pla de la Font,interior_rural,19.7,986.0,1884844,1912.0,1701.0,12.4,12.5
25913,Riu de Cerdanya,interior_rural,8.0,,308687,,1949.0,,
43001,Aiguamúrcia,interior_rural,13.3,1015.0,1615472,1592.0,1704.0,-6.6,-6.7
43002,Albinyana,interior_rural,138.1,2433.0,4035623,1659.0,1512.0,9.7,9.8
43003,"Albiol, l'",interior_rural,26.7,,744274,,1756.0,,
43005,Alcover,interior_rural,116.2,5106.0,7106011,1392.0,1479.0,-5.9,-5.9
43006,Aldover,interior_rural,45.2,,1286373,,1592.0,,
43007,"Aleixar, l'",interior_rural,37.9,,1284163,,1674.0,,
43008,Alfara de Carles,interior_rural,5.7,,615948,,1689.0,,
43009,Alforja,interior_rural,53.3,1845.0,2406852,1305.0,1646.0,-20.7,-20.9
43010,Alió,interior_rural,69.9,,659720,,1551.0,,
43011,Almoster,interior_rural,222.2,1098.0,2139111,1948.0,1918.0,1.6,1.6
43015,Arbolí,interior_rural,6.3,,180128,,1827.0,,
43016,"Arboç, l'",interior_rural,406.0,6208.0,5899082,950.0,1211.0,-21.5,-21.6
43017,"Argentera, l'",interior_rural,13.1,,213243,,2248.0,,
43018,Arnes,interior_rural,11.0,,768559,,1672.0,,
43019,Ascó,interior_rural,22.1,1750.0,2733366,1562.0,1858.0,-15.9,-16.1
43020,Banyeres del Penedès,interior_rural,273.8,3025.0,5069873,1676.0,1483.0,13.0,13.0
43021,Barberà de la Conca,interior_rural,18.4,,824512,,1735.0,,
43022,Batea,interior_rural,14.8,1808.0,2182214,1207.0,1545.0,-21.9,-22.1
43023,Bellmunt del Priorat,interior_rural,33.6,,508031,,1599.0,,
43024,Bellvei,interior_rural,293.6,2627.0,3742637,1425.0,1315.0,8.3,8.4
43025,Benifallet,interior_rural,11.8,,1100623,,1696.0,,
43026,Benissanet,interior_rural,52.2,1160.0,1594897,1375.0,1350.0,1.9,1.9
43027,"Bisbal de Falset, la",interior_rural,14.9,,361736,,1509.0,,
43028,"Bisbal del Penedès, la",interior_rural,131.0,4626.0,7183546,1553.0,1521.0,2.1,2.1
