ine5,nom,tipus,padro,estimacio,rang_baix,rang_alt,registre,marge_rel_pct
17028,Brunyola,interior_rural,393,403,320,550,soroll,0.0
17029,Boadella i les Escaules,interior_rural,260,247,196,337,soroll,0.0
17030,Cabanes,interior_rural,975,747,593,1020,soroll,0.0
17031,Cabanelles,interior_rural,280,384,305,524,senyal_mes,8.9
17035,Camós,interior_rural,713,675,535,921,soroll,0.0
17037,Campelles,interior_rural,165,196,156,268,soroll,0.0
17038,Campllong,interior_rural,544,645,512,881,soroll,0.0
17040,Canet d'Adri,interior_rural,744,653,518,891,soroll,0.0
17041,Cantallops,interior_rural,346,311,247,424,soroll,0.0
17042,Capmany,interior_rural,691,558,443,762,soroll,0.0
17043,Queralbs,interior_rural,206,329,261,449,senyal_mes,26.7
17046,Castellfollit de la Roca,interior_rural,947,888,705,1213,soroll,0.0
17051,Cistella,interior_rural,294,306,243,418,soroll,0.0
17052,Siurana,interior_rural,177,233,185,319,senyal_mes,4.5
17055,Colomers,interior_rural,205,241,191,329,soroll,0.0
17058,Crespià,interior_rural,251,262,208,358,soroll,0.0
17060,Darnius,interior_rural,549,569,452,777,soroll,0.0
17061,Das,interior_rural,270,481,381,656,senyal_mes,41.1
17063,Espinelves,interior_rural,254,290,230,396,soroll,0.0
17064,Espolla,interior_rural,412,308,244,420,soroll,0.0
17065,Esponellà,interior_rural,438,434,345,593,soroll,0.0
17068,Foixà,interior_rural,291,504,400,689,senyal_mes,37.5
17069,Fontanals de Cerdanya,interior_rural,531,1590,1261,2170,senyal_mes,137.5
17070,Fontanilles,interior_rural,168,365,289,498,senyal_mes,72.0
17074,Fortià,interior_rural,801,802,637,1095,soroll,0.0
17075,Garrigàs,interior_rural,470,515,409,704,soroll,0.0
17076,Garrigoles,interior_rural,186,195,155,266,soroll,0.0
17078,Ger,interior_rural,494,1000,793,1365,senyal_mes,60.5
17080,Gombrèn,interior_rural,197,157,124,214,soroll,0.0
17081,Gualta,interior_rural,428,970,770,1325,senyal_mes,79.9
17082,Guils de Cerdanya,interior_rural,568,1575,1250,2150,senyal_mes,120.1
17084,Isòvol,interior_rural,330,547,434,747,senyal_mes,31.5
17085,Jafre,interior_rural,387,483,384,660,soroll,0.0
17087,Juià,interior_rural,345,332,264,454,soroll,0.0
17088,Lladó,interior_rural,828,709,563,968,soroll,0.0
17090,Llambilles,interior_rural,728,854,678,1167,soroll,0.0
17091,Llanars,interior_rural,515,703,558,960,senyal_mes,8.3
17096,"Llosses, les",interior_rural,199,251,199,343,soroll,0.0
17097,Madremanya,interior_rural,288,308,244,420,soroll,0.0
17098,Maià de Montcal,interior_rural,488,388,308,529,soroll,0.0
17099,Meranges,interior_rural,111,115,91,156,soroll,0.0
17100,Masarac,interior_rural,296,228,181,311,soroll,0.0
17101,Massanes,interior_rural,843,828,657,1131,soroll,0.0
17102,Maçanet de Cabrenys,interior_rural,775,818,649,1116,soroll,0.0
17105,Mieres,interior_rural,348,309,245,421,soroll,0.0
17106,Mollet de Peralada,interior_rural,215,168,133,229,soroll,0.0
17107,Molló,interior_rural,373,470,373,642,soroll,0.0
17112,Ogassa,interior_rural,218,211,168,289,soroll,0.0
17115,Ordis,interior_rural,396,394,313,538,soroll,0.0
17116,Osor,interior_rural,422,364,289,497,soroll,0.0
17119,Palau de Santa Eulàlia,interior_rural,136,120,95,164,soroll,0.0
17121,Palau-sator,interior_rural,305,722,573,985,senyal_mes,87.9
17123,Palol de Revardit,interior_rural,467,458,363,625,soroll,0.0
17125,Pardines,interior_rural,161,161,128,219,soroll,0.0
17126,Parlavà,interior_rural,429,617,490,843,senyal_mes,14.2
17128,Pau,interior_rural,590,802,637,1095,senyal_mes,8.0
17129,Pedret i Marzà,interior_rural,188,202,160,275,soroll,0.0
17130,"Pera, la",interior_rural,452,683,542,933,senyal_mes,19.9
17134,Planoles,interior_rural,306,347,275,474,soroll,0.0
17135,Pont de Molins,interior_rural,572,463,368,633,soroll,0.0
17136,Pontós,interior_rural,289,292,232,399,soroll,0.0
17143,Rabós,interior_rural,239,265,210,362,soroll,0.0
17144,Regencós,interior_rural,279,436,346,596,senyal_mes,24.0
17149,Riudaura,interior_rural,528,392,311,535,soroll,0.0
17151,Riumors,interior_rural,264,240,190,327,soroll,0.0
17153,Rupià,interior_rural,329,503,399,686,senyal_mes,21.3
17154,Sales de Llierca,interior_rural,157,183,145,250,soroll,0.0
17157,Sant Andreu Salou,interior_rural,173,223,177,305,senyal_mes,2.3
17158,Sant Climent Sescebes,interior_rural,675,507,402,692,soroll,0.0
17162,Sant Ferriol,interior_rural,236,179,142,244,soroll,0.0
17166,Sant Jordi Desvalls,interior_rural,867,1147,910,1566,senyal_mes,5.0
17168,Sant Joan de Mollet,interior_rural,526,478,379,652,soroll,0.0
17170,Vallfogona de Ripollès,interior_rural,222,228,181,311,soroll,0.0
17171,Sant Llorenç de la Muga,interior_rural,258,306,242,417,soroll,0.0
17172,Sant Martí de Llémena,interior_rural,705,776,616,1059,soroll,0.0
17173,Sant Martí Vell,interior_rural,262,403,320,550,senyal_mes,22.1
17174,Sant Miquel de Campmajor,interior_rural,250,296,235,404,soroll,0.0
17175,Sant Miquel de Fluvià,interior_rural,840,791,628,1080,soroll,0.0
17176,Sant Mori,interior_rural,164,238,189,325,senyal_mes,15.2
17177,Sant Pau de Segúries,interior_rural,722,748,593,1021,soroll,0.0
17182,Santa Llogaia d'Àlguema,interior_rural,400,436,346,595,soroll,0.0
17183,Sant Aniol de Finestres,interior_rural,372,273,217,373,soroll,0.0
17188,"Selva de Mar, la",interior_rural,220,308,244,420,senyal_mes,10.9
17191,Serra de Daró,interior_rural,231,425,337,580,senyal_mes,45.9
17192,Setcases,interior_rural,192,320,254,437,senyal_mes,32.3
17195,"Tallada d'Empordà, la",interior_rural,476,665,528,908,senyal_mes,10.9
17196,Terrades,interior_rural,342,327,259,446,soroll,0.0
17197,Torrent,interior_rural,174,510,404,696,senyal_mes,132.2
17198,Torroella de Fluvià,interior_rural,770,920,730,1256,soroll,0.0
17200,Tortellà,interior_rural,828,659,523,900,soroll,0.0
17201,Toses,interior_rural,192,179,142,244,soroll,0.0
17203,Ultramort,interior_rural,214,336,267,459,senyal_mes,24.8
17205,Ullastret,interior_rural,266,435,345,594,senyal_mes,29.7
17206,Urús,interior_rural,207,426,338,582,senyal_mes,63.3
17210,Ventalló,interior_rural,891,1291,1025,1763,senyal_mes,15.0
17212,Vidrà,interior_rural,169,128,102,175,soroll,0.0
17214,Vilabertran,interior_rural,987,840,666,1147,soroll,0.0
17216,Viladasens,interior_rural,212,253,201,346,soroll,0.0
17217,Viladamat,interior_rural,492,550,437,751,soroll,0.0
17218,Vilademuls,interior_rural,865,1052,835,1436,soroll,0.0
17222,Vilaür,interior_rural,170,214,170,293,soroll,0.0
17224,Vilallonga de Ter,interior_rural,395,676,537,924,senyal_mes,35.9
17225,Vilamacolum,interior_rural,373,493,392,674,senyal_mes,5.1
17227,Vilamaniscle,interior_rural,202,237,188,324,soroll,0.0
17228,Vilanant,interior_rural,402,477,379,651,soroll,0.0
17230,Vila-sacra,interior_rural,815,656,521,896,soroll,0.0
17232,Vilopriu,interior_rural,213,378,300,517,senyal_mes,40.8
17234,Biure,interior_rural,225,240,190,328,soroll,0.0
25001,Abella de la Conca,interior_rural,161,108,85,147,senyal_menys,8.7
25002,Àger,interior_rural,608,459,364,627,soroll,0.0
25004,"Alamús, els",interior_rural,799,826,655,1128,soroll,0.0
25005,Alàs i Cerc,interior_rural,325,402,319,549,soroll,0.0
25006,"Albagés, l'",interior_rural,343,246,195,335,senyal_menys,2.3
25009,"Albi, l'",interior_rural,764,622,494,849,soroll,0.0
25010,Alcanó,interior_rural,240,236,188,323,soroll,0.0
25014,Alfés,interior_rural,284,285,227,390,soroll,0.0
25015,Algerri,interior_rural,426,440,349,600,soroll,0.0
25017,Alins,interior_rural,275,84,67,115,senyal_menys,58.2
25020,Almatret,interior_rural,303,231,183,315,soroll,0.0
25022,Alòs de Balaguer,interior_rural,118,122,97,167,soroll,0.0
25024,Alt Àneu,interior_rural,457,566,449,773,soroll,0.0
25030,"Pont de Bar, el",interior_rural,165,142,112,193,soroll,0.0
25032,Arsèguel,interior_rural,78,93,74,127,soroll,0.0
25035,"Sentiu de Sió, la",interior_rural,454,415,329,566,soroll,0.0
25036,Aspa,interior_rural,219,184,146,251,soroll,0.0
25037,"Avellanes i Santa Linya, les",interior_rural,430,391,311,535,soroll,0.0
25039,Baix Pallars,interior_rural,344,350,277,477,soroll,0.0
25041,Barbens,interior_rural,908,711,565,971,soroll,0.0
25042,"Baronia de Rialb, la",interior_rural,230,201,160,275,soroll,0.0
25044,Bassella,interior_rural,210,157,124,214,soroll,0.0
25046,Belianes,interior_rural,518,556,441,760,soroll,0.0
25049,Bellmunt d'Urgell,interior_rural,183,158,126,216,soroll,0.0
25055,Biosca,interior_rural,177,248,197,339,senyal_mes,11.3
25056,Bovera,interior_rural,253,235,186,320,soroll,0.0
25057,"Bòrdes, Es",interior_rural,281,309,245,422,soroll,0.0
25061,Cabó,interior_rural,91,69,55,94,soroll,0.0
25063,Canejan,interior_rural,101,98,77,133,soroll,0.0
25064,Castellar de la Ribera,interior_rural,144,197,157,269,senyal_mes,9.0
25067,Castelldans,interior_rural,891,786,624,1073,soroll,0.0
25068,Castellnou de Seana,interior_rural,728,822,652,1122,soroll,0.0
25069,Castelló de Farfanya,interior_rural,543,415,329,567,soroll,0.0
25070,Castellserà,interior_rural,992,979,777,1337,soroll,0.0
25071,Cava,interior_rural,40,63,50,86,senyal_mes,25.0
