ine5,nom,tipus,padro,estimacio,rang_baix,rang_alt,registre,marge_rel_pct
43114,Porrera,interior_rural,417,449,357,614,soroll,0.0
43115,Pradell de la Teixeta,interior_rural,178,144,114,196,soroll,0.0
43117,Prat de Comte,interior_rural,188,138,110,189,soroll,0.0
43118,Pratdip,interior_rural,763,1000,793,1365,senyal_mes,3.9
43120,Querol,interior_rural,595,664,527,906,soroll,0.0
43121,Rasquera,interior_rural,796,614,488,839,soroll,0.0
43122,Renau,interior_rural,158,102,81,140,senyal_menys,11.4
43124,"Riba, la",interior_rural,568,374,297,510,senyal_menys,10.2
43130,Rocafort de Queralt,interior_rural,246,219,174,299,soroll,0.0
43132,Rodonyà,interior_rural,522,529,420,723,soroll,0.0
43134,"Rourell, el",interior_rural,403,334,265,457,soroll,0.0
43135,Salomó,interior_rural,530,527,418,720,soroll,0.0
43141,Pontils,interior_rural,123,101,80,138,soroll,0.0
43147,Solivella,interior_rural,627,462,366,630,soroll,0.0
43149,Tivenys,interior_rural,937,870,691,1188,soroll,0.0
43151,"Torre de Fontaubella, la",interior_rural,119,92,73,126,soroll,0.0
43152,"Torre de l'Espanyol, la",interior_rural,630,594,472,812,soroll,0.0
43154,Torroja del Priorat,interior_rural,137,161,127,219,soroll,0.0
43157,Ulldemolins,interior_rural,414,320,254,436,soroll,0.0
43164,Vespella de Gaià,interior_rural,504,656,521,896,senyal_mes,3.4
43165,Vilabella,interior_rural,725,581,461,794,soroll,0.0
43167,Vilanova d'Escornalbou,interior_rural,611,685,543,935,soroll,0.0
43168,Vilanova de Prades,interior_rural,110,104,83,143,soroll,0.0
43169,Vilaplana,interior_rural,560,338,268,461,senyal_menys,17.7
43172,Vilaverd,interior_rural,470,334,265,456,senyal_menys,3.0
43173,"Vilella Alta, la",interior_rural,130,89,71,122,senyal_menys,6.2
43174,"Vilella Baixa, la",interior_rural,206,242,192,330,soroll,0.0
43175,Vilalba dels Arcs,interior_rural,614,582,462,794,soroll,0.0
43176,Vimbodí i Poblet,interior_rural,893,765,607,1045,soroll,0.0
43177,Vinebre,interior_rural,426,415,329,567,soroll,0.0
