ine5,municipi,tipus_territorial,resident,poblacio,etca,kwh_dom,rtc_places,rtc_places_per_resident,gas_kwh_dom,gas_fraction,altitud_m,densitat_hab_km2
25079,Cubells,interior_rural,,342,,552194,13,,0,0.0,,8.7
25081,"Espluga Calba, l'",interior_rural,,332,,461541,12,,285747,0.382,,15.6
25082,Espot,interior_rural,,379,,851850,2262,,0,0.0,,3.8
25085,Estaràs,interior_rural,,162,,270895,9,,0,0.0,,7.7
25086,Esterri d'Àneu,interior_rural,920,920,1299,1965712,1308,1.422,0,0.0,,109.9
25087,Esterri de Cardós,interior_rural,,63,,117393,52,,0,0.0,,3.8
25088,Estamariu,interior_rural,,133,,175986,55,,0,0.0,,6.3
25089,Farrera,interior_rural,,128,,149093,40,,0,0.0,,2.0
25092,"Floresta, la",interior_rural,,164,,203205,0,,0,0.0,,29.4
25093,Fondarella,interior_rural,,807,,1016298,23,,1369613,0.574,,148.8
25094,Foradada,interior_rural,,200,,476831,29,,0,0.0,,6.9
25096,"Fuliola, la",interior_rural,1249,1249,1127,1782129,0,0.0,0,0.0,,112.6
25097,Fulleda,interior_rural,,92,,160494,0,,0,0.0,,5.7
25098,Gavet de la Conca,interior_rural,,262,,384419,110,,0,0.0,,2.9
25099,Golmés,interior_rural,1913,1913,1706,2827503,25,0.013,3025406,0.517,,115.1
25100,Gósol,interior_rural,,214,,472655,418,,0,0.0,,3.8
25101,"Granadella, la",interior_rural,,762,,912207,25,,0,0.0,,9.2
25102,"Granja d'Escarp, la",interior_rural,,941,,1536886,13,,0,0.0,,24.6
25103,Granyanella,interior_rural,,140,,258785,92,,0,0.0,,5.9
25104,Granyena de Segarra,interior_rural,,147,,253753,13,,0,0.0,,8.9
25105,Granyena de les Garrigues,interior_rural,,164,,279375,31,,0,0.0,,8.1
25109,Guimerà,interior_rural,,249,,531620,63,,0,0.0,,9.8
25110,Guissona,interior_rural,7586,7586,7891,9793665,25,0.003,10121328,0.508,,414.8
25111,Guixers,interior_rural,,135,,308265,118,,0,0.0,,2.0
25112,Ivars de Noguera,interior_rural,,319,,428047,21,,0,0.0,,11.8
25113,Ivars d'Urgell,interior_rural,1591,1591,1412,2219444,64,0.04,1555459,0.412,,65.8
25114,Ivorra,interior_rural,,102,,136196,10,,0,0.0,,6.7
25115,Isona i Conca Dellà,interior_rural,1042,1042,1135,2197848,87,0.083,0,0.0,,7.4
25118,Juncosa,interior_rural,,389,,479592,35,,0,0.0,,5.1
25119,Juneda,interior_rural,3523,3523,3215,4825114,9,0.003,4647450,0.491,,74.8
25120,Lleida,interior_rural,144878,144878,149231,180572165,2753,0.019,247979899,0.579,,682.9
25121,Les,interior_rural,1031,1031,1090,1309833,638,0.619,0,0.0,,43.8
25122,Linyola,interior_rural,2737,2737,2420,4048158,22,0.008,3547494,0.467,,94.9
25123,Lladorre,interior_rural,,254,,475492,709,,0,0.0,,1.7
25124,Lladurs,interior_rural,,185,,414945,278,,0,0.0,,1.4
25125,Llardecans,interior_rural,,427,,871352,10,,0,0.0,,6.5
25126,Llavorsí,interior_rural,,336,,273567,705,,0,0.0,,4.9
25127,Lles de Cerdanya,interior_rural,,288,,754945,499,,0,0.0,,2.8
25128,Llimiana,interior_rural,,132,,462508,67,,0,0.0,,3.2
25129,Llobera,interior_rural,,208,,338217,39,,0,0.0,,5.3
25130,Maldà,interior_rural,,239,,358085,34,,0,0.0,,7.6
25131,Massalcoreig,interior_rural,,576,,746056,0,,0,0.0,,42.3
25132,Massoteres,interior_rural,,212,,316977,84,,0,0.0,,8.1
25133,Maials,interior_rural,,916,,1378812,17,,0,0.0,,16.2
25134,Menàrguens,interior_rural,,793,,1117926,7,,0,0.0,,38.6
25135,Miralcamp,interior_rural,1389,1389,1369,1890665,24,0.017,2101372,0.526,,93.5
25136,"Molsosa, la",interior_rural,,105,,368991,51,,0,0.0,,3.9
25137,Mollerussa,metropolita_dens,15680,15680,15858,19802603,136,0.009,25787881,0.566,,2243.4
25138,Montgai,interior_rural,,640,,998966,37,,0,0.0,,22.0
25139,Montellà i Martinet,interior_rural,,619,,1148503,283,,0,0.0,,11.7
25140,Montferrer i Castellbò,interior_rural,1163,1163,1200,2329131,844,0.726,0,0.0,,6.5
25141,Montoliu de Segarra,interior_rural,,181,,320853,17,,0,0.0,,6.2
25142,Montoliu de Lleida,interior_rural,,477,,547491,0,,0,0.0,,64.6
25143,Montornès de Segarra,interior_rural,,88,,147120,24,,0,0.0,,7.3
25145,Nalec,interior_rural,,89,,191181,38,,0,0.0,,9.3
25146,Navès,interior_rural,,302,,972561,303,,0,0.0,,2.1
25148,Odèn,interior_rural,,231,,377059,422,,0,0.0,,2.0
25149,Oliana,interior_rural,1828,1828,1956,2310637,430,0.235,0,0.0,,56.8
25150,Oliola,interior_rural,,195,,319661,44,,0,0.0,,2.3
25151,Olius,interior_rural,1003,1003,937,1837167,87,0.087,638647,0.258,,18.4
25152,"Oluges, les",interior_rural,,165,,265931,33,,0,0.0,,8.7
25153,"Omellons, els",interior_rural,,189,,300656,15,,0,0.0,,17.2
25154,"Omells de na Gaia, els",interior_rural,,121,,184215,31,,0,0.0,,9.3
25155,Organyà,interior_rural,,809,,1490439,312,,1002558,0.402,,63.1
25156,Os de Balaguer,interior_rural,1072,1072,965,1632719,149,0.139,0,0.0,,7.9
25157,Ossó de Sió,interior_rural,,195,,377225,65,,0,0.0,,7.5
25158,"Palau d'Anglesola, el",interior_rural,2200,2200,1991,3166788,27,0.012,3108168,0.495,,178.7
25161,Conca de Dalt,interior_rural,,435,,721865,130,,0,0.0,,2.6
25163,"Coma i la Pedra, la",interior_rural,,283,,1229541,215,,0,0.0,,4.6
25164,Penelles,interior_rural,,435,,624264,56,,0,0.0,,17.2
25165,Peramola,interior_rural,,349,,651489,174,,0,0.0,,6.2
25166,Pinell de Solsonès,interior_rural,,203,,331733,77,,0,0.0,,2.2
25167,Pinós,interior_rural,,277,,665162,64,,0,0.0,,2.7
25168,"Poal, el",interior_rural,,652,,1000777,23,,0,0.0,,73.8
25169,"Pobla de Cérvoles, la",interior_rural,,209,,371479,29,,0,0.0,,3.4
25170,Bellaguarda,interior_rural,,295,,377526,12,,0,0.0,,14.6
25171,"Pobla de Segur, la",interior_rural,3043,3043,2951,6459369,573,0.188,0,0.0,,90.6
25172,Ponts,interior_rural,2670,2670,2472,4671600,218,0.082,5243542,0.529,,85.1
25173,"Pont de Suert, el",interior_rural,2415,2415,2763,3325611,1086,0.45,0,0.0,,16.1
25174,"Portella, la",interior_rural,,723,,923429,0,,0,0.0,,58.6
25175,Prats i Sansor,interior_rural,,254,,1814893,285,,0,0.0,,37.3
25176,Preixana,interior_rural,,404,,659470,21,,0,0.0,,19.0
25177,Preixens,interior_rural,,390,,668833,78,,0,0.0,,13.5
25179,Prullans,interior_rural,,252,,596532,1256,,0,0.0,,11.8
25180,Puiggròs,interior_rural,,257,,518465,35,,0,0.0,,26.2
25181,Puigverd d'Agramunt,interior_rural,,247,,211641,7,,0,0.0,,11.7
25182,Puigverd de Lleida,interior_rural,1417,1417,1198,2029065,13,0.009,0,0.0,,114.3
25183,Rialp,interior_rural,663,663,1024,1340544,814,1.228,803504,0.375,,10.4
25185,Ribera d'Urgellet,interior_rural,,960,,1586907,215,,0,0.0,,8.9
25186,Riner,interior_rural,,264,,447864,70,,0,0.0,,5.5
25189,Rosselló,interior_rural,3353,3353,2992,3866977,7,0.002,5893617,0.604,,335.3
25190,Salàs de Pallars,interior_rural,,354,,661583,149,,0,0.0,,16.7
25191,Sanaüja,interior_rural,,387,,754482,5,,0,0.0,,11.7
25192,Sant Guim de Freixenet,interior_rural,1214,1214,1106,1753882,38,0.031,1920627,0.523,,48.4
25193,Sant Llorenç de Morunys,interior_rural,1000,1000,1272,2711946,1096,1.096,0,0.0,,212.0
25194,Sant Ramon,interior_rural,,495,,713215,58,,0,0.0,,26.2
25196,Sant Esteve de la Sarga,interior_rural,,124,,149710,48,,0,0.0,,1.3
25197,Sant Guim de la Plana,interior_rural,,195,,271308,17,,0,0.0,,15.7
25200,Sarroca de Lleida,interior_rural,,381,,587939,0,,0,0.0,,9.2
25201,Sarroca de Bellera,interior_rural,,114,,355996,430,,0,0.0,,1.3
25202,Senterada,interior_rural,,157,,469795,519,,0,0.0,,4.5
25203,"Seu d'Urgell, la",interior_rural,12759,12759,12574,18394313,771,0.06,10905551,0.372,,817.3
25204,Seròs,interior_rural,1890,1890,1829,2850079,11,0.006,1143234,0.286,,22.1
25205,Sidamon,interior_rural,,769,,1074583,0,,0,0.0,,94.9
25206,"Soleràs, el",interior_rural,,317,,552621,0,,0,0.0,,25.3
25207,Solsona,interior_rural,9393,9393,9549,12523234,1316,0.14,14665953,0.539,,531.5
25208,Soriguera,interior_rural,,447,,547294,814,,0,0.0,,4.1
25209,Sort,interior_rural,2258,2258,3192,3972221,2342,1.037,0,0.0,,21.4
25210,Soses,interior_rural,1870,1870,1850,2608275,8,0.004,0,0.0,,62.3
25211,Sudanell,interior_rural,,897,,1095666,6,,0,0.0,,111.0
25212,Sunyer,interior_rural,,306,,425026,0,,0,0.0,,24.5
25215,Talarn,interior_rural,,541,,621906,721,,0,0.0,,19.4
25216,Talavera,interior_rural,,285,,352254,38,,0,0.0,,9.3
25217,Tàrrega,interior_rural,18570,18570,17705,23100442,217,0.012,33943668,0.595,,211.3
25218,Tarrés,interior_rural,,125,,130281,32,,150245,0.536,,9.6
25219,Tarroja de Segarra,interior_rural,,172,,205690,12,,0,0.0,,21.9
25220,Térmens,interior_rural,1344,1344,1366,2079387,0,0.0,0,0.0,,48.7
25221,Tírvia,interior_rural,,144,,228655,64,,0,0.0,,16.5
25222,Tiurana,interior_rural,,67,,26610,43,,0,0.0,,4.3
25223,Torà,interior_rural,1253,1253,1232,1780652,161,0.128,0,0.0,,13.4
25224,"Torms, els",interior_rural,,138,,192489,11,,0,0.0,,10.3
25225,Tornabous,interior_rural,,842,,1404277,27,,0,0.0,,41.8
