ine5,municipi,tipus_territorial,resident,poblacio,etca,kwh_dom,rtc_places,rtc_places_per_resident,gas_kwh_dom,gas_fraction,altitud_m,densitat_hab_km2
43036,Cabra del Camp,interior_rural,1325,1325,1275,2064464,85,0.064,0,0.0,,49.3
43037,Calafell,litoral_vacacional,31567,31567,39951,60527303,3897,0.123,24084744,0.285,,1569.2
43038,Cambrils,litoral_vacacional,36686,36686,49656,71880723,18595,0.507,33833617,0.32,,1052.2
43039,Capafonts,interior_rural,,106,,196722,67,,0,0.0,,8.0
43040,Capçanes,interior_rural,,426,,659535,14,,0,0.0,,19.4
43041,Caseres,interior_rural,,240,,332711,64,,0,0.0,,5.7
43042,Castellvell del Camp,interior_rural,2991,2991,2532,4493120,67,0.022,1985835,0.307,,588.0
43043,"Catllar, el",interior_rural,5215,5215,4619,9268889,217,0.042,992409,0.097,,198.9
43044,"Sénia, la",interior_rural,5618,5618,5277,6752748,177,0.032,1150578,0.146,,52.4
43045,Colldejou,interior_rural,,161,,215301,30,,0,0.0,,11.2
43046,Conesa,interior_rural,,113,,198474,21,,0,0.0,,3.9
43047,Constantí,interior_rural,6921,6921,7725,8214116,14,0.002,3170980,0.279,,225.3
43048,Corbera d'Ebre,interior_rural,1016,1016,910,1353840,64,0.063,0,0.0,,19.3
43049,Cornudella de Montsant,interior_rural,1033,1033,1287,1570150,341,0.33,0,0.0,,16.5
43050,Creixell,litoral_vacacional,4169,4169,6341,8752614,6592,1.581,2971950,0.253,,407.8
43051,Cunit,litoral_vacacional,15750,15750,18817,26601216,2410,0.153,11989035,0.311,,1608.7
43052,Xerta,interior_rural,1153,1153,1091,1790856,99,0.086,0,0.0,,36.0
43053,Duesaigües,interior_rural,,223,,296198,45,,0,0.0,,16.5
43054,"Espluga de Francolí, l'",interior_rural,3850,3850,3735,4833865,503,0.131,5230502,0.52,,68.5
43055,Falset,interior_rural,2875,2875,2919,3655696,216,0.075,2618745,0.417,,90.8
43056,"Fatarella, la",interior_rural,,856,,1526504,50,,0,0.0,,15.3
43057,"Febró, la",interior_rural,,36,,64549,18,,0,0.0,,2.3
43058,"Figuera, la",interior_rural,,123,,187801,14,,0,0.0,,6.6
43059,Figuerola del Camp,interior_rural,,346,,458516,13,,0,0.0,,15.4
43060,Flix,interior_rural,3323,3323,3390,6247970,81,0.024,0,0.0,,28.7
43061,Forès,interior_rural,,40,,102033,8,,0,0.0,,2.5
43062,Freginals,interior_rural,,425,,372849,0,,0,0.0,,24.8
43063,"Galera, la",interior_rural,,717,,1036521,78,,0,0.0,,26.5
43064,Gandesa,interior_rural,3160,3160,3243,4087014,165,0.052,3202580,0.439,,44.8
43065,Garcia,interior_rural,,540,,861122,24,,0,0.0,,10.4
43066,"Garidells, els",interior_rural,,204,,227899,15,,0,0.0,,68.2
43067,Ginestar,interior_rural,,800,,943085,38,,0,0.0,,51.9
43068,Godall,interior_rural,,621,,861067,10,,0,0.0,,18.6
43069,Gratallops,interior_rural,,232,,303920,115,,0,0.0,,17.2
43070,"Guiamets, els",interior_rural,,256,,422927,18,,0,0.0,,21.6
43071,Horta de Sant Joan,interior_rural,1157,1157,1224,1565716,393,0.34,0,0.0,,9.8
43072,"Lloar, el",interior_rural,,100,,176076,24,,0,0.0,,15.3
43073,Llorac,interior_rural,,102,,181625,14,,0,0.0,,4.4
43074,Llorenç del Penedès,interior_rural,2422,2422,2279,3775984,59,0.024,0,0.0,,524.2
43075,Margalef,interior_rural,,108,,346234,104,,0,0.0,,3.1
43076,Marçà,interior_rural,,599,,906781,46,,0,0.0,,37.5
43077,Mas de Barberans,interior_rural,,546,,664919,52,,0,0.0,,7.0
43078,Masdenverge,interior_rural,1149,1149,976,1808623,59,0.051,0,0.0,,79.2
43079,Masllorenç,interior_rural,,567,,964445,7,,0,0.0,,87.2
43080,"Masó, la",interior_rural,,288,,394545,0,,243161,0.381,,84.1
43081,Maspujols,interior_rural,,893,,1195173,10,,0,0.0,,247.9
43082,"Masroig, el",interior_rural,,480,,707101,45,,0,0.0,,31.1
43083,"Milà, el",interior_rural,,197,,313697,24,,0,0.0,,47.4
43084,Miravet,interior_rural,,683,,1140810,81,,0,0.0,,21.2
43085,"Molar, el",interior_rural,,308,,426630,0,,0,0.0,,13.7
43086,Montblanc,interior_rural,7539,7539,8354,9152170,1003,0.133,11533199,0.558,,83.3
43088,Montbrió del Camp,interior_rural,3137,3137,2971,5018418,562,0.179,0,0.0,,300.6
43089,Montferri,interior_rural,,473,,871635,33,,0,0.0,,24.8
43090,"Montmell, el",interior_rural,1916,1916,2021,3159406,173,0.09,0,0.0,,26.5
43091,Mont-ral,interior_rural,,185,,285660,109,,0,0.0,,5.4
43092,Mont-roig del Camp,litoral_vacacional,14185,14185,22764,37694674,14002,0.987,3511757,0.085,,226.8
43093,Móra d'Ebre,interior_rural,5739,5739,5650,9007882,159,0.028,6040608,0.401,,127.7
43094,Móra la Nova,interior_rural,3309,3309,2947,4428261,135,0.041,3411153,0.435,,213.9
43095,"Morell, el",interior_rural,3851,3851,4125,5444220,194,0.05,2045908,0.273,,646.5
43096,"Morera de Montsant, la",interior_rural,,144,,279017,102,,0,0.0,,2.7
43097,"Nou de Gaià, la",interior_rural,,611,,873874,19,,0,0.0,,142.7
43098,Nulles,interior_rural,,557,,824745,88,,0,0.0,,53.0
43099,"Palma d'Ebre, la",interior_rural,,335,,501263,7,,0,0.0,,8.9
43100,"Pallaresos, els",interior_rural,5018,5018,4433,7170782,25,0.005,2422751,0.253,,987.3
43101,Passanant i Belltall,interior_rural,,162,,300404,39,,0,0.0,,5.9
43102,Paüls,interior_rural,,543,,781213,62,,0,0.0,,12.6
43103,Perafort,interior_rural,1319,1319,1132,1946422,40,0.03,0,0.0,,137.0
43104,"Perelló, el",litoral_vacacional,2933,2933,3309,4093974,908,0.31,1012651,0.198,,29.5
43105,"Piles, les",interior_rural,,230,,332672,55,,0,0.0,,10.3
43106,"Pinell de Brai, el",interior_rural,975,975,901,1403670,73,0.075,0,0.0,,17.3
43107,Pira,interior_rural,,499,,621468,18,,0,0.0,,58.6
43108,"Pla de Santa Maria, el",interior_rural,2391,2391,2431,2829902,19,0.008,2534422,0.472,,68.6
43109,"Pobla de Mafumet, la",interior_rural,4127,4127,4237,4586328,25,0.006,2065343,0.31,,681.8
43110,"Pobla de Massaluca, la",interior_rural,,344,,489209,150,,0,0.0,,8.0
43111,"Pobla de Montornès, la",interior_rural,3357,3357,3562,5946208,222,0.066,1689650,0.221,,275.4
43112,Poboleda,interior_rural,,333,,492136,517,,0,0.0,,24.4
43113,"Pont d'Armentera, el",interior_rural,,498,,690022,15,,0,0.0,,23.2
43114,Porrera,interior_rural,,417,,763082,99,,0,0.0,,14.7
43115,Pradell de la Teixeta,interior_rural,,178,,259244,17,,0,0.0,,8.2
43116,Prades,interior_rural,671,671,1124,1342937,1017,1.516,0,0.0,,20.8
43117,Prat de Comte,interior_rural,,188,,232378,47,,0,0.0,,7.2
43118,Pratdip,interior_rural,,763,,1694465,251,,0,0.0,,21.5
43119,Puigpelat,interior_rural,1208,1208,1175,1469670,13,0.011,0,0.0,,128.2
43120,Querol,interior_rural,,595,,1164202,104,,0,0.0,,8.3
43121,Rasquera,interior_rural,,796,,994658,99,,0,0.0,,15.8
43122,Renau,interior_rural,,158,,201836,36,,0,0.0,,19.2
43123,Reus,metropolita_dens,109961,109961,106885,126747691,1420,0.013,85045930,0.402,,2094.2
43124,"Riba, la",interior_rural,,568,,808824,5,,934324,0.536,,71.1
43125,Riba-roja d'Ebre,interior_rural,1126,1126,1092,2101666,303,0.269,0,0.0,,11.4
43126,"Riera de Gaià, la",interior_rural,1806,1806,1616,2794956,126,0.07,0,0.0,,207.9
43127,Riudecanyes,interior_rural,1359,1359,1242,1901458,67,0.049,0,0.0,,80.9
43128,Riudecols,interior_rural,1248,1248,1160,1817051,25,0.02,0,0.0,,64.6
43129,Riudoms,interior_rural,6954,6954,6586,8654567,147,0.021,2809967,0.245,,217.4
43130,Rocafort de Queralt,interior_rural,,246,,356123,37,,0,0.0,,29.4
43131,Roda de Berà,litoral_vacacional,8027,8027,11725,19534555,7008,0.873,6577949,0.252,,490.3
43132,Rodonyà,interior_rural,,522,,838506,29,,0,0.0,,61.4
43133,Roquetes,interior_rural,8374,8374,7544,11590332,48,0.006,1853463,0.138,,62.1
43134,"Rourell, el",interior_rural,,403,,485178,23,,130319,0.212,,177.6
43135,Salomó,interior_rural,,530,,840781,40,,0,0.0,,43.2
43136,Sant Carles de la Ràpita,litoral_vacacional,15802,15802,16719,28284636,2422,0.153,4125489,0.127,,305.7
43137,Sant Jaume dels Domenys,interior_rural,2806,2806,2785,4445793,214,0.076,0,0.0,,115.2
43138,Santa Bàrbara,interior_rural,3819,3819,3622,5497473,128,0.034,0,0.0,,138.5
43139,Santa Coloma de Queralt,interior_rural,2823,2823,2759,4292349,59,0.021,0,0.0,,83.3
43140,Santa Oliva,interior_rural,3679,3679,4375,5283751,45,0.012,186942,0.034,,380.3
43141,Pontils,interior_rural,,123,,179274,32,,0,0.0,,1.8
43142,Sarral,interior_rural,1588,1588,1774,1818963,16,0.01,1207006,0.399,,30.3
43143,Savallà del Comtat,interior_rural,,48,,115542,17,,0,0.0,,3.3
43144,"Secuita, la",interior_rural,1828,1828,1556,2860930,78,0.043,0,0.0,,103.7
43145,"Selva del Camp, la",interior_rural,5839,5839,5797,6835968,250,0.043,5195789,0.432,,166.6
43146,Senan,interior_rural,,46,,68771,5,,0,0.0,,3.9
43147,Solivella,interior_rural,,627,,823753,35,,0,0.0,,29.6
43148,Tarragona,litoral_vacacional,141018,141018,156109,164559120,13675,0.097,103207946,0.385,,2427.5
43149,Tivenys,interior_rural,,937,,1409020,79,,0,0.0,,17.7
43150,Tivissa,interior_rural,1624,1624,1817,2384621,290,0.179,1167364,0.329,,7.8
43151,"Torre de Fontaubella, la",interior_rural,,119,,164903,24,,0,0.0,,16.9
43152,"Torre de l'Espanyol, la",interior_rural,,630,,951021,18,,0,0.0,,22.7
43153,Torredembarra,litoral_vacacional,17953,17953,21801,31784203,4125,0.23,12584064,0.284,,2076.5
43154,Torroja del Priorat,interior_rural,,137,,270179,106,,0,0.0,,10.5
43155,Tortosa,interior_rural,35513,35513,36850,46108413,916,0.026,13795973,0.23,,164.8
43156,Ulldecona,interior_rural,6598,6598,6392,8478431,194,0.029,2065011,0.196,,53.0
43157,Ulldemolins,interior_rural,,414,,553828,487,,0,0.0,,10.9
43158,Vallclara,interior_rural,,89,,238753,19,,0,0.0,,6.6
43159,Vallfogona de Riucorb,interior_rural,,98,,279780,306,,0,0.0,,9.0
43160,Vallmoll,interior_rural,1937,1937,1703,2581305,0,0.0,659769,0.204,,116.5
43161,Valls,interior_rural,25085,25085,25321,30534248,325,0.013,16870397,0.356,,453.9
43162,Vandellòs i l'Hospitalet de l'Infant,litoral_vacacional,7082,7082,8817,14854727,3151,0.445,1818564,0.109,,69.7
43163,"Vendrell, el",litoral_vacacional,40526,40526,48154,69534989,6966,0.172,34458503,0.331,,1106.3
43164,Vespella de Gaià,interior_rural,,504,,1109407,105,,0,0.0,,28.1
43165,Vilabella,interior_rural,,725,,979811,44,,0,0.0,,40.4
43166,Vilallonga del Camp,interior_rural,2462,2462,2214,3660303,17,0.007,1369999,0.272,,272.3
43167,Vilanova d'Escornalbou,interior_rural,,611,,1133994,96,,0,0.0,,35.8
43168,Vilanova de Prades,interior_rural,,110,,164342,648,,0,0.0,,5.1
43169,Vilaplana,interior_rural,,560,,618339,43,,0,0.0,,24.4
43170,Vila-rodona,interior_rural,1379,1379,1252,2063933,55,0.04,0,0.0,,42.1
43171,Vila-seca,litoral_vacacional,24061,24061,30960,34851147,11005,0.457,15438603,0.307,,1124.3
43172,Vilaverd,interior_rural,,470,,555728,38,,0,0.0,,37.7
43173,"Vilella Alta, la",interior_rural,,130,,154205,15,,0,0.0,,25.8
43174,"Vilella Baixa, la",interior_rural,,206,,393813,39,,0,0.0,,37.7
43175,Vilalba dels Arcs,interior_rural,,614,,950898,72,,0,0.0,,9.2
43176,Vimbodí i Poblet,interior_rural,,893,,1366827,181,,0,0.0,,13.5
43177,Vinebre,interior_rural,,426,,728661,87,,0,0.0,,16.2
43178,Vinyols i els Arcs,interior_rural,2425,2425,2685,4235949,2202,0.908,659763,0.135,,224.3
43901,Deltebre,litoral_vacacional,11941,11941,12685,21904465,2989,0.25,0,0.0,,114.6
43902,Sant Jaume d'Enveja,litoral_vacacional,3671,3671,3594,6680027,583,0.159,0,0.0,,62.8
43903,Camarles,interior_rural,3428,3428,3380,5648174,298,0.087,0,0.0,,116.5
43904,"Aldea, l'",interior_rural,4554,4554,4580,7272842,199,0.044,580513,0.074,,151.7
43905,Salou,litoral_vacacional,30442,30442,62220,63002027,42461,1.395,20392459,0.245,,2026.1
43906,"Ampolla, l'",litoral_vacacional,3692,3692,5364,11084506,2447,0.663,1165968,0.095,,104.9
43907,"Canonja, la",interior_rural,5936,5936,6189,7029144,32,0.005,4367024,0.383,,817.8
