codi6;ine5;nom
250693;25069;Castelló de Farfanya
250714;25071;Cava
170499;17049;Celrà
080673;08067;Centelles
082687;08268;Cercs
082665;08266;Cerdanyola del Vallès
080689;08068;Cervelló
250729;25072;Cervera
250735;25073;Cervià de les Garrigues
170502;17050;Cervià de Ter
170519;17051;Cistella
250740;25074;Ciutadilla
250753;25075;Clariana de Cardener
170545;17054;Colera
250772;25077;Coll de Nargó
080692;08069;Collbató
430458;43045;Colldejou
080706;08070;Collsuspina
170558;17055;Colomers
251615;25161;Conca de Dalt
430461;43046;Conesa
430477;43047;Constantí
080713;08071;Copons
430483;43048;Corbera d'Ebre
080728;08072;Corbera de Llobregat
250788;25078;Corbins
080734;08073;Cornellà de Llobregat
170561;17056;Cornellà del Terri
430496;43049;Cornudella de Montsant
170577;17057;Corçà
430509;43050;Creixell
170583;17058;Crespià
179011;17901;Cruïlles, Monells i Sant Sadurní de l'Heura
080749;08074;Cubelles
250791;25079;Cubells
430516;43051;Cunit
080425;08042;Cànoves i Samalús
170600;17060;Darnius
170617;17061;Das
439018;43901;Deltebre
080752;08075;Dosrius
430537;43053;Duesaigües
080253;08025;el Bruc
080266;08026;el Brull
430430;43043;el Catllar
250766;25076;el Cogul
170059;17005;el Far d'Empordà
430727;43072;el Lloar
081189;08118;el Masnou
430825;43082;el Masroig
430831;43083;el Milà
430859;43085;el Molar
430901;43090;el Montmell
430957;43095;el Morell
251581;25158;el Palau d'Anglesola
081580;08158;el Papiol
431042;43104;el Perelló
431068;43106;el Pinell de Brai
431080;43108;el Pla de Santa Maria
081640;08164;el Pla del Penedès
251689;25168;el Poal
431135;43113;el Pont d'Armentera
250306;25030;el Pont de Bar
251734;25173;el Pont de Suert
081825;08182;el Pont de Vilomara i Rocafort
171404;17140;el Port de la Selva
081691;08169;el Prat de Llobregat
431346;43134;el Rourell
252069;25206;el Soleràs
431634;43163;el Vendrell
252537;25253;el Vilosell
250045;25004;els Alamús
430666;43066;els Garidells
430705;43070;els Guiamets
081629;08162;els Hostalets de Pierola
251538;25153;els Omellons
251543;25154;els Omells de na Gaia
431009;43100;els Pallaresos
259118;25911;els Plans de Sió
081705;08170;els Prats de Rei
252249;25224;els Torms
250576;25057;Es Bòrdes
080765;08076;Esparreguera
170638;17063;Espinelves
080771;08077;Esplugues de Llobregat
170643;17064;Espolla
170656;17065;Esponellà
250827;25082;Espot
250886;25088;Estamariu
250851;25085;Estaràs
250864;25086;Esterri d'Àneu
250870;25087;Esterri de Cardós
430555;43055;Falset
250899;25089;Farrera
081347;08134;Figaró-Montmany
170669;17066;Figueres
430593;43059;Figuerola del Camp
170675;17067;Flaçà
430607;43060;Flix
080826;08082;Fogars de la Selva
080811;08081;Fogars de Montclús
170681;17068;Foixà
080832;08083;Folgueroles
250931;25093;Fondarella
080847;08084;Fonollosa
080850;08085;Font-rubí
170694;17069;Fontanals de Cerdanya
170708;17070;Fontanilles
170715;17071;Fontcoberta
250946;25094;Foradada
179026;17902;Forallac
170736;17073;Fornells de la Selva
170741;17074;Fortià
430614;43061;Forès
430629;43062;Freginals
250978;25097;Fulleda
080804;08080;Fígols
259084;25908;Fígols i Alinyà
080902;08090;Gaià
080879;08087;Gallifa
430640;43064;Gandesa
430653;43065;Garcia
170767;17076;Garrigoles
170773;17077;Garriguella
170754;17075;Garrigàs
250984;25098;Gavet de la Conca
080898;08089;Gavà
080919;08091;Gelida
170789;17078;Ger
259123;25912;Gimenells i el Pla de la Font
430672;43067;Ginestar
170792;17079;Girona
080924;08092;Gironella
080930;08093;Gisclareny
430688;43068;Godall
250997;25099;Golmés
170806;17080;Gombrèn
080958;08095;Granera
080961;08096;Granollers
251039;25103;Granyanella
251057;25105;Granyena de les Garrigues
251044;25104;Granyena de Segarra
430691;43069;Gratallops
080977;08097;Gualba
170813;17081;Gualta
080996;08099;Guardiola de Berguedà
170828;17082;Guils de Cerdanya
251095;25109;Guimerà
251109;25110;Guissona
251116;25111;Guixers
081000;08100;Gurb
251001;25100;Gósol
430712;43071;Horta de Sant Joan
170834;17083;Hostalric
081022;08102;Igualada
251155;25115;Isona i Conca Dellà
170849;17084;Isòvol
251137;25113;Ivars d'Urgell
251121;25112;Ivars de Noguera
251142;25114;Ivorra
170852;17085;Jafre
081038;08103;Jorba
259101;25910;Josa i Tuixén
