ine5,codi6,municipi,comarca,poblacio,hab_total,hab_principal,hab_noprincipal,pct_noprincipal,hab_per_hab,index_envelliment,rtc_total,rtc_hut,rtc_per_1000hab,rtc_per_100hab_viv,kg_hab_any,kwh_hab,vidre_hab,restauracio_estab,restauracio_per_1000hab,serveis_estab,serveis_per_1000hab,poblacio_pernocta_est,gap_pernocta,gap_pernocta_pct,carrega_total_est,index_turisme,confianca,poblacio_real_est,gap_abs,gap_pct,poblacio_real_rel,pct_icaen_EFG,IETR,IETR_rank,IETR_stock,IETR_impact,tipologia,confianca_score,carrega_funcional_est,kg_hab_any_year,vidre_any,any_referencia,poblacio_nacionalitat_estrangera,poblacio_nascuda_estranger,poblacio_nascuda_catalunya,poblacio_nascuda_resta_espanya,pct_nacionalitat_estrangera,pct_nascuda_estranger,bretxa_naturalitzacio,pct_nacionalitat_estrangera_comarca,pct_nacionalitat_estrangera_catalunya,pct_nascuda_estranger_comarca,pct_nascuda_estranger_catalunya,serie_any_inicial,serie_any_final,delta_pct_estrangera_5y,delta_pct_estrangera_finestra,delta_estrangers_finestra,confianca_origen,vots_valids_A20241,pct_extrema_dreta_A20241,pct_indep_A20241,pct_esq_A20241,guanya_A20241,vots_valids_A20211,pct_extrema_dreta_A20211,pct_indep_A20211,pct_esq_A20211,guanya_A20211
08080,080804,Fígols,Berguedà,41,34,22,12,35.29,0.829,1100.0,3,2,73.17,8.82,759.88,1016.4,1.2,0,0.0,1,24.39,34,-7,-17.1,76,7.8,baixa,76,35,85.4,69,,35.75,17,26.64,44.85,buit_administratiu,29.7,76,2024,2024,2025,5,6,34,1,,,,12.69,18.74,16.29,25.1,2021.0,2025.0,,3.11,1.0,baixa,25.0,20.0,68.0,28.0,CAT-JUNTS+,25.0,4.0,76.0,60.0,ERC
08092,080924,Gironella,Berguedà,5082,2628,1935,693,26.37,0.517,185.6,21,15,4.13,0.8,323.51,1263.2,20.6,23,4.53,25,4.92,5245,163,3.2,4010,21.6,mitjana,4010,-1072,-21.1,3637,,0.62,30,1.24,0.0,capital_serveis,84.1,5245,2024,2024,2025,617,735,3895,452,12.14,14.46,2.32,12.69,18.74,16.29,25.1,2021.0,2025.0,,0.77,57.0,alta,2249.0,15.03,72.97,41.13,CAT-JUNTS+,2124.0,2.54,80.74,49.15,JxCat
08093,080930,Gisclareny,Berguedà,28,43,15,28,65.12,1.536,650.0,4,3,142.86,9.3,1038.94,2395.1,144.0,1,35.71,1,35.71,55,27,96.4,71,100.0,baixa,71,43,153.6,64,,82.21,3,96.07,68.35,segona_residencia,42.8,71,2024,2024,2025,0,0,26,2,,,,12.69,18.74,16.29,25.1,,,,,,baixa,24.0,4.17,83.33,45.83,CAT-JUNTS+,20.0,0.0,85.0,60.0,JxCat
08099,080996,Guardiola de Berguedà,Berguedà,962,720,423,297,41.25,0.748,286.8,44,39,45.74,6.11,477.4,1432.0,53.0,4,4.16,9,9.36,1125,163,16.9,1120,44.6,mitjana,1120,158,16.4,1016,,29.31,21,30.25,28.36,indeterminat,83.7,1125,2024,2024,2025,86,136,709,117,8.94,14.14,5.2,12.69,18.74,16.29,25.1,2021.0,2025.0,,2.14,23.0,alta,457.0,7.22,63.46,55.36,CAT-JUNTS+,455.0,2.86,72.09,61.1,JxCat
08130,081304,Montclar,Berguedà,133,87,46,41,47.13,0.654,140.9,11,6,82.71,12.64,592.72,1880.4,44.2,0,0.0,1,7.52,204,71,53.4,192,38.4,baixa,192,59,44.4,174,,46.01,10,33.17,58.86,buit_administratiu,57.0,204,2024,2024,2025,3,3,128,2,2.26,2.26,0.0,12.69,18.74,16.29,25.1,2024.0,2024.0,,0.0,0.0,mitjana,74.0,17.57,91.89,22.97,CAT-JUNTS+,65.0,3.08,90.77,43.08,JxCat
08132,081326,Montmajor,Berguedà,471,289,166,123,42.56,0.614,211.3,18,10,38.22,6.23,843.28,1989.5,46.5,5,10.62,6,12.74,766,295,62.6,969,40.0,alta,969,498,105.7,879,,26.0,23,25.69,26.32,indeterminat,80.4,969,2024,2024,2025,39,45,409,17,8.28,9.55,1.27,12.69,18.74,16.29,25.1,2021.0,2025.0,,1.67,8.0,alta,225.0,12.0,78.67,27.56,CAT-JUNTS+,193.0,2.07,82.9,33.16,JxCat
08142,081424,"Nou de Berguedà, la",Berguedà,163,123,64,59,47.97,0.755,391.7,11,3,67.48,8.94,939.09,1943.0,90.8,3,18.4,2,12.27,259,96,58.9,373,71.5,alta,373,210,128.8,339,,41.13,15,38.87,43.39,excursio,59.0,373,2024,2024,2025,12,18,141,4,7.36,11.04,3.68,12.69,18.74,16.29,25.1,2021.0,2025.0,,3.34,5.0,mitjana,101.0,12.87,82.18,37.62,CAT-JUNTS+,111.0,0.9,77.48,46.85,JxCat
08144,081445,Olvan,Berguedà,926,530,360,170,32.08,0.572,221.2,19,8,20.52,3.58,400.01,1477.9,36.1,3,3.24,6,6.48,1118,192,20.7,903,32.6,mitjana,903,-23,-2.5,819,,11.95,27,10.82,13.09,indeterminat,83.8,1118,2024,2024,2025,72,93,773,60,7.78,10.04,2.26,12.69,18.74,16.29,25.1,2021.0,2025.0,,4.92,47.0,alta,436.0,14.68,69.5,43.35,CAT-JUNTS+,442.0,3.17,80.54,51.13,JxCat
08166,081666,"Pobla de Lillet, la",Berguedà,1106,989,474,515,52.07,0.894,407.1,31,24,28.03,3.13,458.57,1375.1,48.6,7,6.33,16,14.47,1243,137,12.4,1237,41.5,mitjana,1237,131,11.8,1122,,32.26,18,50.34,14.18,indeterminat,72.5,1243,2024,2024,2025,106,134,846,126,9.58,12.12,2.54,12.69,18.74,16.29,25.1,2021.0,2025.0,,5.61,64.0,alta,566.0,8.3,69.79,48.41,CAT-JUNTS+,538.0,3.72,79.93,50.93,JxCat
08175,081751,Puig-reig,Berguedà,4558,2376,1742,634,26.68,0.521,218.7,20,8,4.39,0.84,334.03,1166.3,28.3,5,1.1,10,2.19,4343,-215,-4.7,3713,27.1,mitjana,3713,-845,-18.5,3368,,0.95,29,1.8,0.1,capital_serveis,86.4,4343,2024,2024,2025,572,747,3377,434,12.55,16.39,3.84,12.69,18.74,16.29,25.1,2021.0,2025.0,,3.93,202.0,alta,1946.0,12.44,71.17,41.52,CAT-JUNTS+,1822.0,2.8,77.99,51.54,JxCat
