ine5,codi6,municipi,comarca,vegueria,poblacio,hab_total,hab_principal,hab_noprincipal,pct_noprincipal,hab_per_hab,index_envelliment,densitat_hab_km2,renda_neta_persona,poblacio_nascuda_catalunya,poblacio_nascuda_resta_espanya,poblacio_nascuda_estranger,pct_nascuda_estranger,pct_nacionalitat_estrangera,bretxa_naturalitzacio,delta_pct_estrangera_finestra,confianca_origen,rtc_total,rtc_hut,rtc_per_1000hab,rtc_per_100hab_viv,kg_hab_any,kwh_hab,vidre_hab,residu_base_ratio,kwh_base_ratio,vidre_base_ratio,restauracio_estab,restauracio_per_1000hab,serveis_estab,serveis_per_1000hab,poblacio_pernocta_est,gap_pernocta,gap_pernocta_pct,carrega_total_est,carrega_funcional_est,index_turisme,confianca,poblacio_real_est,gap_abs,gap_pct,poblacio_real_rel,pct_icaen_EFG,IETR,IETR_rank,IETR_stock,IETR_impact,tipologia,confianca_score,divergencia_senyals,pct_indep,pct_esquerra,pct_extrema_dreta,guanya
25904,259046,Castell de Mur,Pallars Jussà,Alt Pirineu i Aran,159,172,84,88,51.16,1.082,714.3,2.5,17824,142,12,5,3.14,2.52,0.62,-1.39,mitjana,20,12,125.79,11.63,712.74,1953.8,80.7,1.74,0.99,3.05,2,12.58,1,6.29,157,-2,-1.3,276,276,100,alta,276,117,73.6,251,,77.04,62,68.01,86.07,excursio,59.1,25,,,,
25905,259059,Ribera d'Ondara,Segarra,Ponent,436,315,170,145,46.03,0.722,246.8,8,15019,377,35,24,5.5,4.13,1.37,0.89,mitjana,7,5,16.06,2.22,633.24,1608.9,22.9,1.54,0.91,0.86,1,2.29,3,6.88,398,-38,-8.7,673,673,35.5,alta,673,237,54.4,611,,29.77,396,46.28,13.26,indeterminat,80.7,27,,,,
25906,259062,"Valls d'Aguilar, les",Alt Urgell,Alt Pirineu i Aran,259,289,126,163,56.4,1.116,723.1,2.1,14052,203,17,39,15.06,13.13,1.93,-1.89,alta,22,10,84.94,7.61,217.83,1415.6,11.5,0.53,0.79,0.43,0,0,3,11.58,206,-53,-20.5,138,259,21.9,mitjana,138,-121,-46.7,125,,65.66,106,74.22,57.11,buit_administratiu,48.1,89,,,,
25907,259078,Torrefeta i Florejacs,Segarra,Ponent,593,441,246,195,44.22,0.744,303.6,6.7,15621,498,35,60,10.12,8.77,1.35,1.46,alta,14,6,23.61,3.17,633.34,1473.5,22.9,1.54,0.81,0.86,0,0,1,1.69,483,-110,-18.5,916,916,35.5,alta,916,323,54.5,831,,32.56,366,45.76,19.36,indeterminat,78.5,33,,,,
25908,259084,Fígols i Alinyà,Alt Urgell,Alt Pirineu i Aran,235,292,93,199,68.15,1.243,645.5,2.3,14182,198,16,21,8.94,5.11,3.83,-1.79,mitjana,12,8,51.06,4.11,321.47,2010.9,19.4,0.78,1.13,0.73,1,4.26,1,4.26,265,30,12.8,184,265,31.3,baixa,184,-51,-21.7,167,,61.53,137,90.56,32.49,indeterminat,43.8,94,,,,
25909,259097,"Vansa i Fórnols, la",Alt Urgell,Alt Pirineu i Aran,189,226,76,150,66.37,1.196,492.3,1.8,15386,139,10,40,21.16,21.16,0,13.04,alta,13,1,68.78,5.75,450.69,1943.9,33.4,1.1,1.04,1.26,3,15.87,1,5.29,196,7,3.7,208,208,48.2,baixa,208,19,10.1,188,,65.72,105,86.76,44.68,indeterminat,47.9,68,,,,
25910,259101,Josa i Tuixén,Alt Urgell,Alt Pirineu i Aran,110,210,61,149,70.95,1.909,350,1.6,16496,98,5,7,6.36,2.73,3.63,0.11,mitjana,11,5,100,5.24,472.06,2837.4,35.4,1.15,1.47,1.34,5,45.45,3,27.27,162,52,47.3,127,162,50.6,alta,127,17,15.5,115,,76.98,63,100,53.95,segona_residencia,33.2,74,,,,
25911,259118,"Plans de Sió, els",Segarra,Ponent,512,386,209,177,45.85,0.754,281.1,9.2,16755,427,24,61,11.91,9.57,2.34,3.25,alta,8,4,15.63,2.07,634.54,1527.4,22.9,1.55,0.82,0.86,0,0,3,5.86,422,-90,-17.6,792,792,35.5,alta,792,280,54.7,719,,30.11,392,47.66,12.57,indeterminat,79.3,31,,,,
25912,259123,Gimenells i el Pla de la Font,Segrià,Ponent,1072,514,405,109,21.21,0.479,224.3,19.2,14760,763,147,162,15.11,14.65,0.46,1.89,alta,0,0,0,0,385.6,1758.3,24,0.94,1.03,0.91,5,4.66,10,9.33,1108,36,3.4,1008,1108,36.9,mitjana,1008,-64,-6,915,,6.48,778,12.97,0,indeterminat,77.4,36,,,,
25913,259139,Riu de Cerdanya,Cerdanya,Alt Pirineu i Aran,96,124,47,77,62.1,1.292,471.4,7.8,18291,86,9,1,1.04,0,1.04,,mitjana,7,6,72.92,5.65,591.21,3215.5,36.7,1.44,1.65,1.38,1,10.42,3,31.25,158,62,64.6,138,158,52.1,alta,138,42,43.8,126,,66.71,98,87.63,45.8,segona_residencia,35.5,55,,,,
