ine5,codi6,municipi,comarca,vegueria,poblacio,hab_total,hab_principal,hab_noprincipal,pct_noprincipal,hab_per_hab,index_envelliment,densitat_hab_km2,renda_neta_persona,poblacio_nascuda_catalunya,poblacio_nascuda_resta_espanya,poblacio_nascuda_estranger,pct_nascuda_estranger,pct_nacionalitat_estrangera,bretxa_naturalitzacio,delta_pct_estrangera_finestra,confianca_origen,rtc_total,rtc_hut,rtc_per_1000hab,rtc_per_100hab_viv,kg_hab_any,kwh_hab,vidre_hab,residu_base_ratio,kwh_base_ratio,vidre_base_ratio,restauracio_estab,restauracio_per_1000hab,serveis_estab,serveis_per_1000hab,poblacio_pernocta_est,gap_pernocta,gap_pernocta_pct,carrega_total_est,carrega_funcional_est,index_turisme,confianca,poblacio_real_est,gap_abs,gap_pct,poblacio_real_rel,pct_icaen_EFG,IETR,IETR_rank,IETR_stock,IETR_impact,tipologia,confianca_score,divergencia_senyals,pct_indep,pct_esquerra,pct_extrema_dreta,guanya
08001,080018,Abrera,Baix Llobregat,Metropolità,13207,5266,4643,623,11.83,0.399,119.2,662.3,16682,9034,2398,1775,13.44,8.23,5.21,1.63,alta,7,6,0.53,0.13,458.6,1260.3,11.8,1.12,0.9,0.45,49,3.71,35,2.65,11822,-1385,-10.5,14773,14773,22.2,mitjana,14773,1566,11.9,13400,,0.59,918,0.94,0.23,capital_serveis,74.6,44,,,,
08002,080023,Aguilar de Segarra,Bages,Comarques Centrals,293,151,99,52,34.44,0.515,128.3,6.8,18693,272,8,13,4.44,3.07,1.37,0.96,mitjana,5,1,17.06,3.31,436.32,1690.6,33.5,1.06,0.85,1.26,1,3.41,1,3.41,250,-43,-14.7,312,312,48.3,mitjana,312,19,6.5,283,,21.89,508,26.24,17.53,indeterminat,77.9,12,,,,
08003,080039,Alella,Maresme,Metropolità,10251,3958,3419,539,13.62,0.386,156.4,1070,25382,7431,1017,1803,17.59,13.57,4.02,2.39,alta,149,144,14.54,3.76,573.15,1792.1,30.8,1.4,0.99,1.16,13,1.27,26,2.54,10144,-107,-1,14330,14330,45,alta,14330,4079,39.8,12999,,10.12,696,1.98,18.25,capital_serveis,68.8,60,,,,
08004,080044,Alpens,Lluçanès,Comarques Centrals,267,241,117,124,51.45,0.903,226.9,19.3,19367,231,8,28,10.49,8.99,1.5,1.93,mitjana,15,11,56.18,6.22,366.83,1872.2,29.3,0.89,0.96,1.11,1,3.75,5,18.73,255,-12,-4.5,239,267,43.2,baixa,239,-28,-10.5,217,,50.79,203,59.69,41.89,indeterminat,61.5,53,,,,
08005,080057,"Ametlla del Vallès, l'",Vallès Oriental,Metropolità,9473,3608,2975,633,17.54,0.381,113.8,665.2,21257,7401,940,1132,11.95,6.66,5.29,0.9,alta,28,18,2.96,0.78,542.66,1773.1,25.9,1.32,1.04,0.98,6,0.63,18,1.9,9892,419,4.4,12538,12538,39.1,alta,12538,3065,32.4,11373,,4.42,820,5.4,3.43,capital_serveis,73.5,47,,,,
08006,080060,Arenys de Mar,Maresme,Metropolità,16982,8413,6292,2121,25.21,0.495,186.8,2515.9,16679,11571,2010,3401,20.03,13.44,6.59,2,alta,243,228,14.31,2.89,494.34,1235,33.5,1.21,0.95,1.26,26,1.53,26,1.53,16158,-824,-4.9,20475,20475,48.3,mitjana,20475,3493,20.6,18573,,16.14,584,17.23,15.05,indeterminat,87.5,7,,,,
08007,080076,Arenys de Munt,Maresme,Metropolità,9527,4439,3497,942,21.22,0.466,144.4,447.5,16776,7583,839,1105,11.6,7.97,3.63,0.86,alta,84,82,8.82,1.89,460.9,1398.4,28.7,1.12,0.98,1.08,20,2.1,16,1.68,9375,-152,-1.6,10710,10710,42.5,mitjana,10710,1183,12.4,9715,,10.93,677,12.35,9.5,capital_serveis,81.2,25,,,,
08008,080082,Argençola,Anoia,Penedès,245,169,93,76,44.97,0.69,93.2,5.2,15738,218,11,16,6.53,6.94,-0.41,0.66,mitjana,5,3,20.41,2.96,331.09,1583.2,38.6,0.81,0.86,1.46,0,0,1,4.08,212,-33,-13.5,198,245,54.4,baixa,198,-47,-19.2,179,,30.65,384,43.82,17.47,indeterminat,61.9,46,,,,
08009,080095,Argentona,Maresme,Metropolità,12891,5223,4514,709,13.57,0.405,144.7,507.5,18013,10124,1548,1219,9.46,6.46,3,1.1,alta,75,63,5.82,1.44,434.01,1368.8,30.2,1.06,0.93,1.14,14,1.09,15,1.16,12036,-855,-6.6,13646,13646,44.3,mitjana,13646,755,5.9,12378,,4.78,812,2.75,6.82,capital_serveis,77.4,36,,,,
08010,080109,Artés,Bages,Comarques Centrals,6211,2655,2207,448,16.87,0.427,133.2,347.6,16039,4646,623,942,15.17,13.62,1.55,3.39,alta,6,4,0.97,0.23,444.28,1296.1,25.1,1.08,0.93,0.95,16,2.58,18,2.9,5754,-457,-7.4,6730,6730,38.2,mitjana,6730,519,8.4,6105,,3.72,834,6.68,0.75,capital_serveis,79.1,31,,,,
08011,080116,Avià,Berguedà,Comarques Centrals,2263,1107,824,283,25.56,0.489,168.4,83.1,16985,2017,85,161,7.11,6.01,1.1,1.41,alta,30,20,13.26,2.71,376.16,1451.5,27.8,0.92,0.94,1.05,6,2.65,13,5.74,2126,-137,-6.1,2076,2263,41.4,mitjana,2076,-187,-8.3,1883,,15.63,596,17.24,14.03,indeterminat,85.5,13,83.85,38.35,13.12,CAT-JUNTS+
08012,080121,Avinyó,Bages,Comarques Centrals,2325,1113,869,244,21.92,0.479,182.3,36.8,15973,1831,161,333,14.32,10.62,3.7,0.43,alta,8,5,3.44,0.72,493.58,1391.1,34.8,1.2,0.8,1.31,6,2.58,17,7.31,1864,-461,-19.8,2799,2799,49.8,baixa,2799,474,20.4,2539,,8.49,737,13.59,3.39,capital_serveis,79.6,30,,,,
08013,080137,Avinyonet del Penedès,Alt Penedès,Penedès,1787,898,655,243,27.06,0.503,195.2,61.3,16456,1373,173,241,13.49,10.35,3.14,0.55,alta,27,19,15.11,3.01,402.1,1559.8,46,0.98,0.9,1.74,7,3.92,4,2.24,1607,-180,-10.1,1753,1787,63.3,mitjana,1753,-34,-1.9,1590,,17.49,567,19.22,15.76,indeterminat,84.8,15,,,,
08014,080142,Aiguafreda,Osona,Comarques Centrals,2569,1298,1013,285,21.96,0.505,195.6,325.2,17748,2011,272,286,11.13,7.32,3.81,1.8,alta,11,10,4.28,0.85,475.25,1322.4,32.2,1.16,0.94,1.22,11,4.28,17,6.62,2418,-151,-5.9,2978,2978,46.7,baixa,2978,409,15.9,2701,,9.51,712,14.87,4.15,capital_serveis,80.8,26,,,,
08015,080155,Badalona,Barcelonès,Metropolità,230642,91915,83337,8578,9.33,0.399,143.7,10889.6,14618,138553,36589,55500,24.06,18.43,5.63,3.56,alta,289,223,1.25,0.31,426.49,943.9,13.5,1.04,0.84,0.51,537,2.33,635,2.75,192658,-37984,-16.5,239918,239918,24.3,mitjana,239918,9276,4,217625,,0.83,905,0.53,1.14,capital_serveis,78.1,34,,,,
08016,080168,Bagà,Berguedà,Comarques Centrals,2167,1696,909,787,46.4,0.783,295.7,50.2,17500,1741,266,160,7.38,4.85,2.53,1.07,alta,46,37,21.23,2.71,444.73,1570.2,34.5,1.08,0.98,1.3,8,3.69,16,7.38,2115,-52,-2.4,2351,2351,49.5,baixa,2351,184,8.5,2132,,33.19,361,49.53,16.86,capital_serveis,80,29,62.02,52.28,8.51,CAT-JUNTS+
08017,080174,Balenyà,Osona,Comarques Centrals,4007,1730,1446,284,16.42,0.432,150.7,231,14492,2905,430,672,16.77,12.85,3.92,1.56,alta,4,3,1,0.23,322.3,1062.2,25.3,0.79,0.84,0.95,5,1.25,9,2.25,3365,-642,-16,3150,4007,38.4,mitjana,3150,-857,-21.4,2857,,3.65,837,6.53,0.76,indeterminat,85.3,13,,,,
08018,080180,Balsareny,Bages,Comarques Centrals,3354,1710,1301,409,23.92,0.51,224.3,90.9,15813,2550,461,343,10.23,7.69,2.54,-0.23,alta,4,3,1.19,0.23,466.07,1163.9,29.4,1.14,0.83,1.11,14,4.17,21,6.26,2792,-562,-16.8,3813,3813,43.4,baixa,3813,459,13.7,3458,,8.82,727,16.82,0.83,capital_serveis,82.8,21,,,,
08019,080193,Barcelona,Barcelonès,Metropolità,1713247,808751,671177,137574,17.01,0.472,188.4,16904.3,19527,898140,221986,593121,34.62,25.55,9.07,4.81,alta,11421,10653,6.67,1.41,446.76,1117.4,23.8,1.09,0.82,0.9,7470,4.36,5379,3.14,1402478,-310769,-18.1,1866854,1866854,36.6,alta,1866854,153607,9,1693385,,7.99,750,8.96,7.01,excursio,71.9,52,,,,
08020,080207,Begues,Baix Llobregat,Metropolità,7545,2935,2486,449,15.3,0.389,110.7,149.6,21840,5811,849,885,11.73,8.07,3.66,0.99,alta,19,13,2.52,0.65,662.76,1535.6,26.7,1.62,0.85,1.01,6,0.8,8,1.06,6401,-1144,-15.2,12196,12196,40.1,alta,12196,4651,61.6,11063,,3.15,849,3.49,2.81,excursio,70.4,55,,,,
08021,080214,Bellprat,Anoia,Penedès,69,72,37,35,48.61,1.043,520,2.2,,61,3,5,7.25,1.45,5.8,,mitjana,2,1,28.99,2.78,393.59,1467.1,44.5,0.96,,1.68,0,0,1,14.49,,,,66,69,61.5,baixa,66,-3,-4.3,60,,41.89,285,63.92,19.87,pendent,,,,,,
08022,080229,Berga,Berguedà,Comarques Centrals,17539,9010,6831,2179,24.18,0.514,182,777.1,15449,12059,1388,4092,23.33,18.16,5.17,3.92,alta,45,36,2.57,0.5,458.79,1198.5,27.6,1.12,0.95,1.04,28,1.6,53,3.02,16670,-869,-5,19626,19626,41.2,mitjana,19626,2087,11.9,17802,,9.76,709,17.24,2.29,capital_serveis,83.4,19,72.72,41.05,13.9,CAT-JUNTS+
08023,080235,Bigues i Riells,Vallès Oriental,Metropolità,10124,4417,3452,965,21.85,0.436,123.2,353.5,17201,7962,1267,895,8.84,5.36,3.48,1.01,alta,15,2,1.48,0.34,665.48,1604.3,21.1,1.62,0.96,0.8,11,1.09,23,2.27,9737,-387,-3.8,16432,16432,33.4,alta,16432,6308,62.3,14906,,6.39,782,11.46,1.32,capital_serveis,69,60,,,,
08024,080240,Borredà,Berguedà,Comarques Centrals,434,392,178,214,54.59,0.903,361.8,10,16003,356,21,57,13.13,10.83,2.3,-1.81,alta,26,16,59.91,6.63,858.18,1745.1,49.8,2.09,0.96,1.88,4,9.22,5,11.52,418,-16,-3.7,908,908,67.8,alta,908,474,109.2,824,,53.56,184,62.43,44.69,excursio,69.1,60,73.61,43.06,11.11,CAT-JUNTS+
08025,080253,"Bruc, el",Anoia,Penedès,2294,1206,856,350,29.02,0.526,107.9,48.6,17297,1851,242,201,8.76,5.67,3.09,0.31,alta,22,15,9.59,1.82,439.14,1563,39.1,1.07,0.87,1.48,7,3.05,9,3.92,2000,-294,-12.8,2457,2457,55,mitjana,2457,163,7.1,2229,,15.78,591,22.04,9.52,indeterminat,86.1,11,,,,
08026,080266,"Brull, el",Osona,Comarques Centrals,297,125,87,38,30.4,0.421,110.3,7.2,19814,259,11,27,9.09,6.4,2.69,0.58,mitjana,8,6,26.94,6.4,407.68,1705.5,39.4,0.99,0.84,1.49,4,13.47,1,3.37,248,-49,-16.5,295,297,55.4,mitjana,295,-2,-0.7,268,,25.18,462,18.21,32.14,indeterminat,76.2,18,,,,
08027,080272,"Cabanyes, les",Alt Penedès,Penedès,1064,375,316,59,15.73,0.352,75.3,925.2,17701,923,79,62,5.83,3.48,2.35,0.21,alta,3,3,2.82,0.8,488.05,1415.9,25.2,1.19,0.86,0.95,2,1.88,4,3.76,910,-154,-14.5,1267,1267,38.3,baixa,1267,203,19.1,1149,,3.64,838,3.82,3.45,indeterminat,75.6,41,,,,
08028,080288,Cabrera d'Anoia,Anoia,Penedès,1777,1160,632,528,45.52,0.653,126.7,104.5,14026,1247,276,254,14.29,6.92,7.37,0.55,alta,6,6,3.38,0.52,548.33,1164.7,10.5,1.34,0.79,0.4,2,1.13,2,1.13,1412,-365,-20.5,2377,2377,20.7,alta,2377,600,33.8,2156,,22.59,499,42.53,2.65,indeterminat,75.7,41,,,,
08029,080291,Cabrera de Mar,Maresme,Metropolità,5053,2276,1710,566,24.87,0.45,142.3,562.7,22766,3958,469,626,12.39,8.29,4.1,1.63,alta,75,72,14.84,3.3,844.37,1737.8,35.1,2.06,1.01,1.32,11,2.18,22,4.35,5114,61,1.2,10406,10406,50.2,baixa,10406,5353,105.9,9439,,15.74,592,14.77,16.71,buit_administratiu,75.4,42,,,,
08030,080305,Cabrils,Maresme,Metropolità,7755,3470,2541,929,26.77,0.447,127.6,1100,24186,5777,572,1406,18.13,14.24,3.89,2.27,alta,97,85,12.51,2.8,648.01,1773.4,35.5,1.58,1.03,1.34,15,1.93,20,2.58,7996,241,3.1,12257,12257,50.7,alta,12257,4502,58.1,11118,,15.19,606,16.29,14.08,capital_serveis,73.6,47,,,,
08031,080312,Calaf,Anoia,Penedès,3627,1907,1376,531,27.84,0.526,131.6,393.4,14120,2373,315,939,25.89,21.4,4.49,-0.62,alta,3,2,0.83,0.16,381.13,1176.7,18.7,0.93,0.97,0.71,3,0.83,9,2.48,3501,-126,-3.5,3372,3627,30.5,mitjana,3372,-255,-7,3058,,10.73,682,21.01,0.45,indeterminat,88.5,4,,,,
08032,080327,Caldes d'Estrac,Maresme,Metropolità,3348,1879,1231,648,34.49,0.561,185.9,3804.5,19248,2156,340,852,25.45,18.73,6.72,2.37,alta,205,197,61.23,10.91,531.73,1590.3,35.2,1.3,1.13,1.33,23,6.87,10,2.99,3773,425,12.7,4342,4342,50.3,mitjana,4342,994,29.7,3939,,44.51,262,28.49,60.53,buit_administratiu,86.4,10,,,,
08033,080333,Caldes de Montbui,Vallès Oriental,Metropolità,18554,7708,6603,1105,14.34,0.415,150.2,495.4,17089,13121,2469,2964,15.97,10.27,5.7,2.61,alta,32,23,1.72,0.42,507.65,1267.9,24.9,1.24,0.87,0.94,35,1.89,45,2.43,16190,-2364,-12.7,22973,22973,37.9,baixa,22973,4419,23.8,20838,,2.8,860,3.9,1.7,capital_serveis,73.4,47,,,,
08034,080348,Calders,Moianès,Comarques Centrals,1121,583,392,191,32.76,0.52,129.7,33.9,17895,962,79,80,7.14,4.82,2.32,0.59,alta,9,5,8.03,1.54,509.95,1618.4,46.8,1.24,0.88,1.77,6,5.35,4,3.57,982,-139,-12.4,1394,1394,64.2,alta,1394,273,24.4,1265,,16.49,579,25.02,7.96,indeterminat,86.3,10,,,,
08035,080351,Calella,Maresme,Metropolità,20775,10657,7673,2984,28,0.513,173.7,2596.9,14031,11914,2505,6356,30.59,22.71,7.88,4.57,alta,600,545,28.88,5.63,659.96,1301.5,35,1.61,1.09,1.32,57,2.74,36,1.73,22626,1851,8.9,33441,33441,50.1,mitjana,33441,12666,61,30333,,25.3,459,20.52,30.07,indeterminat,83.6,18,,,,
08036,080364,Calonge de Segarra,Anoia,Penedès,179,122,62,60,49.18,0.682,247.8,4.8,16681,172,5,2,1.12,1.12,0,-0.01,mitjana,10,0,55.87,8.2,408.19,1350.3,33.4,1,0.72,1.26,1,5.59,1,5.59,128,-51,-28.5,178,179,48.2,mitjana,178,-1,-0.6,162,,48.01,235,47.12,48.9,indeterminat,56.2,41,,,,
08037,080370,Calldetenes,Osona,Comarques Centrals,2724,1025,899,126,12.29,0.376,135.6,469.7,16857,2227,176,321,11.78,8.59,3.19,3.12,alta,5,5,1.84,0.49,302.27,1274.7,20.2,0.74,0.92,0.76,6,2.2,19,6.98,2502,-222,-8.1,2008,2724,32.3,mitjana,2008,-716,-26.3,1822,,1.4,887,0.82,1.99,indeterminat,78.9,32,,,,
08038,080386,Callús,Bages,Comarques Centrals,2193,1011,835,176,17.41,0.461,123.6,175.4,15421,1660,215,318,14.5,11.67,2.83,2.17,alta,2,2,0.91,0.2,396.9,1434.8,20.6,0.97,1.03,0.78,7,3.19,6,2.74,2249,56,2.6,2123,2249,32.8,mitjana,2123,-70,-3.2,1926,,4.7,815,8.79,0.62,indeterminat,79.9,29,,,,
08039,080399,Campins,Vallès Oriental,Metropolità,588,305,218,87,28.52,0.519,119.3,80.7,18913,477,44,67,11.39,8.33,3.06,0.77,alta,11,8,18.71,3.61,430.53,1942.9,28.3,1.05,1.05,1.07,4,6.8,1,1.7,616,28,4.8,617,617,42,mitjana,617,29,4.9,560,,20.23,529,21.27,19.2,indeterminat,79.6,30,,,,
08040,080403,Canet de Mar,Maresme,Metropolità,15191,7568,5742,1826,24.13,0.498,192.1,2732.2,15714,10815,1891,2485,16.36,10.64,5.72,1.9,alta,345,327,22.71,4.56,484.92,1242.7,30.1,1.18,0.99,1.14,30,1.97,30,1.97,15078,-113,-0.7,17967,17967,44.2,mitjana,17967,2776,18.3,16297,,20.23,530,16.43,24.03,indeterminat,86.8,9,,,,
08041,080410,Canovelles,Vallès Oriental,Metropolità,17445,6183,5734,449,7.26,0.354,106.3,2619.4,12923,8985,3053,5407,30.99,20.8,10.19,1.98,alta,10,8,0.57,0.16,464.96,941.5,12.7,1.13,0.86,0.48,4,0.23,24,1.38,15068,-2377,-13.6,19783,19783,23.3,baixa,19783,2338,13.4,17945,,0.18,932,0,0.35,buit_administratiu,68.2,62,,,,
08042,080425,Cànoves i Samalús,Vallès Oriental,Metropolità,3393,1462,1139,323,22.09,0.431,118.8,116.2,17066,2608,479,306,9.02,5.07,3.95,0.97,alta,16,9,4.72,1.09,567.26,1530.2,26,1.38,0.88,0.98,5,1.47,6,1.77,2996,-397,-11.7,4694,4694,39.3,baixa,4694,1301,38.3,4258,,8.3,742,11.43,5.17,indeterminat,75.2,42,,,,
08043,080431,Canyelles,Garraf,Penedès,5494,2819,1829,990,35.12,0.513,127,386.1,15803,3892,793,809,14.73,10.78,3.95,1.12,alta,112,106,20.39,3.97,680.05,1665.4,19.5,1.66,1.04,0.74,6,1.09,7,1.27,5736,242,4.4,9113,9113,31.5,alta,9113,3619,65.9,8266,,23.91,482,26.74,21.09,indeterminat,77.5,36,,,,
08044,080446,Capellades,Anoia,Penedès,5598,2773,2083,690,24.88,0.495,172.7,1904.1,15419,3987,838,773,13.81,9.18,4.63,2.72,alta,6,2,1.07,0.22,371.75,1107.1,21.4,0.91,0.92,0.81,5,0.89,12,2.14,5165,-433,-7.7,5076,5598,33.7,baixa,5076,-522,-9.3,4604,,8.84,726,16.94,0.75,segona_residencia,50.7,100,,,,
08045,080459,Capolat,Berguedà,Comarques Centrals,93,60,34,26,43.33,0.645,106.3,2.7,18111,89,1,3,3.23,2.15,1.08,,mitjana,13,5,139.78,21.67,906.48,1723.2,77.2,2.21,0.86,2.91,1,10.75,1,10.75,80,-13,-14,206,206,100,alta,206,113,121.5,187,,69.9,85,40.24,99.56,excursio,29.8,69,89.58,39.58,12.5,CAT-JUNTS+
08046,080462,Cardedeu,Vallès Oriental,Metropolità,19050,7654,6819,835,10.91,0.402,124.9,1574.4,17792,14411,2289,2350,12.34,7.24,5.1,0.93,alta,16,10,0.84,0.21,362.64,1300,22.8,0.88,0.94,0.86,24,1.26,44,2.31,17881,-1169,-6.1,16849,19050,35.4,baixa,16849,-2201,-11.6,15284,,0.65,912,0.67,0.63,segona_residencia,59.2,88,,,,
08047,080478,Cardona,Bages,Comarques Centrals,4540,2908,1826,1082,37.21,0.641,268.6,68.1,15730,3713,356,471,10.37,8.37,2,2.09,alta,78,67,17.18,2.68,425.65,1460.4,29.1,1.04,0.98,1.1,12,2.64,13,2.86,4444,-96,-2.1,4713,4713,43,mitjana,4713,173,3.8,4275,,25.01,465,34.7,15.31,capital_serveis,85.3,13,,,,
08048,080484,Carme,Anoia,Penedès,860,502,300,202,40.24,0.584,165.3,73.6,15734,644,65,151,17.56,14.53,3.03,1.84,alta,1,1,1.16,0.2,208.73,1229.6,19.7,0.51,0.73,0.74,2,2.33,4,4.65,628,-232,-27,438,860,31.7,mitjana,438,-422,-49.1,397,,17.66,563,34.62,0.71,indeterminat,69.8,58,,,,
08049,080497,Casserres,Berguedà,Comarques Centrals,1665,996,646,350,35.14,0.598,202.6,56.5,15362,1453,72,140,8.41,7.21,1.2,2.63,alta,30,6,18.02,3.01,397.81,1635.9,38.7,0.97,0.98,1.46,5,3,9,5.41,1625,-40,-2.4,1615,1665,54.5,mitjana,1615,-50,-3,1465,,23.81,483,30.83,16.8,indeterminat,84.3,16,80.84,36.28,15.35,CAT-JUNTS+
08050,080500,Castellar del Riu,Berguedà,Comarques Centrals,151,115,63,52,45.22,0.762,117.4,4.6,16771,139,7,5,3.31,1.32,1.99,0,mitjana,17,11,112.58,14.78,1028.05,1523.3,78.4,2.51,0.81,2.96,1,6.62,1,6.62,122,-29,-19.2,379,379,100,alta,379,228,151,343,,68.69,88,47.49,89.89,excursio,24.1,100,90.36,24.1,15.66,CAT-JUNTS+
08051,080517,Castellar del Vallès,Vallès Occidental,Metropolità,25395,10052,8948,1104,10.98,0.396,144.4,565.5,17260,19847,3353,2195,8.64,5.18,3.46,0.56,alta,25,21,0.98,0.25,509.43,1195.4,18.8,1.24,0.86,0.71,72,2.84,96,3.78,21840,-3555,-14,31554,31554,30.6,baixa,31554,6159,24.3,28622,,0.6,914,0.38,0.82,capital_serveis,70.9,55,,,,
08052,080522,Castellar de n'Hug,Berguedà,Comarques Centrals,166,276,71,205,74.28,1.663,466.7,3.5,17812,144,9,13,7.83,6.02,1.81,2.38,mitjana,30,20,180.72,10.87,980.42,1607.6,107.7,2.39,0.82,4.06,3,18.07,4,24.1,136,-30,-18.1,397,397,100,alta,397,231,139.2,360,,94.38,19,100,88.76,excursio,33.1,88,84.31,26.47,27.45,CAT-JUNTS+
08053,080538,Castellbell i el Vilar,Bages,Comarques Centrals,4163,2121,1523,598,28.19,0.509,148.6,146.2,14852,3148,526,489,11.75,8.79,2.96,1.7,alta,19,11,4.56,0.9,580.83,1317.8,22.2,1.42,0.93,0.84,3,0.72,8,1.92,3885,-278,-6.7,5898,5898,34.7,baixa,5898,1735,41.7,5350,,12.47,649,20.5,4.43,indeterminat,78.7,32,,,,
08054,080543,Castellbisbal,Vallès Occidental,Metropolità,13058,5121,4411,710,13.86,0.392,104.9,420.8,16867,9536,1948,1574,12.05,7.49,4.56,1.52,alta,2,0,0.15,0.04,505.09,1181.2,18.5,1.23,0.83,0.7,20,1.53,36,2.76,10877,-2181,-16.7,16087,16087,30.3,baixa,16087,3029,23.2,14592,,1.19,893,2.38,0,capital_serveis,72.9,49,,,,
08055,080556,Castellcir,Moianès,Comarques Centrals,802,476,283,193,40.55,0.594,106.3,23.5,17806,669,59,74,9.23,5.99,3.24,-1.81,alta,6,5,7.48,1.26,688.12,1663.6,48.8,1.68,0.89,1.84,2,2.49,3,3.74,716,-86,-10.7,1346,1346,66.6,alta,1346,544,67.8,1221,,21.06,518,35.36,6.76,excursio,78.2,34,,,,
08056,080569,Castelldefels,Baix Llobregat,Metropolità,69689,28708,24792,3916,13.64,0.412,120.7,5414.8,18693,36981,10684,22024,31.6,24.15,7.45,3.36,alta,470,375,6.74,1.64,521.88,1265.5,27,1.27,0.91,1.02,164,2.35,94,1.35,63493,-6196,-8.9,88706,88706,40.5,alta,88706,19017,27.3,80463,,5.5,799,3.15,7.86,segona_residencia,75.7,41,,,,
08057,080575,Castell de l'Areny,Berguedà,Comarques Centrals,68,66,31,35,53.03,0.971,450,2.8,18111,64,2,2,2.94,1.47,1.47,,mitjana,6,3,88.24,9.09,898.72,1648.8,60.1,2.19,0.83,2.27,0,0,1,14.71,56,-12,-17.6,149,149,80.2,baixa,149,81,119.1,135,,63.96,117,64.33,63.6,excursio,24.5,71,76.6,40.43,12.77,CAT-JUNTS+
08058,080581,Castellet i la Gornal,Alt Penedès,Penedès,2773,1693,973,720,42.53,0.611,140.5,58.4,15065,2021,322,430,15.51,11.65,3.86,4.2,alta,36,30,12.98,2.13,809.28,1543.8,31.3,1.97,1,1.18,4,1.44,3,1.08,2765,-8,-0.3,5473,5473,45.6,alta,5473,2700,97.4,4965,,24.88,468,37.91,11.84,indeterminat,68.8,61,,,,
08059,080594,Castellfollit del Boix,Bages,Comarques Centrals,469,371,166,205,55.26,0.791,193,8,17679,402,39,28,5.97,2.56,3.41,-0.77,mitjana,13,4,27.72,3.5,482.91,2130.3,46.7,1.18,1.11,1.76,2,4.26,2,4.26,521,52,11.1,552,552,64.1,alta,552,83,17.7,501,,39.83,303,57.65,22,indeterminat,76,40,,,,
08060,080608,Castellfollit de Riubregós,Anoia,Penedès,153,160,69,91,56.88,1.046,213.6,5.8,16443,146,3,4,2.61,2.61,0,-0.46,mitjana,2,0,13.07,1.25,437.96,3478.3,38.4,1.07,1.87,1.45,1,6.54,1,6.54,286,133,86.9,163,286,54.2,baixa,163,10,6.5,148,,40,301,71.28,8.71,segona_residencia,29.1,95,,,,
08061,080615,Castellgalí,Bages,Comarques Centrals,2411,1139,801,338,29.68,0.472,136.5,140.1,16354,1857,335,219,9.08,6.55,2.53,2.65,alta,1,0,0.41,0.09,543.41,1513.9,19.2,1.33,0.99,0.72,8,3.32,7,2.9,2383,-28,-1.2,3196,3196,31.1,baixa,3196,785,32.6,2899,,10.04,699,20.03,0.05,indeterminat,82.1,23,,,,
08062,080620,Castellnou de Bages,Bages,Comarques Centrals,1471,682,479,203,29.77,0.464,91.6,50.4,17878,1262,144,65,4.42,3.13,1.29,-2.95,alta,16,9,10.88,2.35,397.71,1781.5,32.8,0.97,0.98,1.24,1,0.68,2,1.36,1436,-35,-2.4,1427,1471,47.4,mitjana,1427,-44,-3,1294,,15.8,590,19.72,11.89,indeterminat,82,23,,,,
08063,080636,Castellolí,Anoia,Penedès,670,305,232,73,23.93,0.455,111.7,26.5,18943,599,25,46,6.87,4.93,1.94,2.17,alta,2,1,2.99,0.66,276.7,1700.2,31,0.67,0.89,1.17,6,8.96,3,4.48,594,-76,-11.3,452,670,45.3,mitjana,452,-218,-32.5,410,,8.6,732,14.19,3.01,indeterminat,75.8,41,,,,
08064,080641,Castellterçol,Moianès,Comarques Centrals,2742,1607,1038,569,35.41,0.586,190.7,86,15988,2103,215,424,15.46,10.21,5.25,1.38,alta,16,10,5.84,1,481.26,1371.8,21.4,1.17,0.95,0.81,17,6.2,26,9.48,2607,-135,-4.9,3219,3219,33.7,baixa,3219,477,17.4,2920,,17.87,560,30.49,5.25,capital_serveis,86.2,11,,,,
08065,080654,Castellví de la Marca,Alt Penedès,Penedès,1718,826,587,239,28.93,0.481,164.2,60.5,15587,1386,126,206,11.99,9.95,2.04,2.34,alta,12,6,6.98,1.45,595.07,1562.2,25.1,1.45,0.93,0.95,5,2.91,6,3.49,1592,-126,-7.3,2493,2493,38.2,alta,2493,775,45.1,2262,,13.54,636,19.8,7.27,indeterminat,78.4,33,,,,
08066,080667,Castellví de Rosanes,Baix Llobregat,Metropolità,2166,877,664,213,24.29,0.405,135.6,132.2,19072,1587,329,250,11.54,6.69,4.85,0.75,alta,5,4,2.31,0.57,408.1,1549.7,31.7,1,0.88,1.2,2,0.92,3,1.39,1895,-271,-12.5,2156,2166,46.1,mitjana,2156,-10,-0.5,1956,,7.28,762,12.11,2.45,indeterminat,83,20,,,,
08067,080673,Centelles,Osona,Comarques Centrals,7860,3701,2952,749,20.24,0.471,158.2,517.8,16294,6241,770,849,10.8,7.32,3.48,1.29,alta,12,8,1.53,0.32,495.22,1208.8,27.2,1.21,0.91,1.03,27,3.44,40,5.09,7182,-678,-8.6,9494,9494,40.7,baixa,9494,1634,20.8,8612,,6.5,777,11.74,1.27,capital_serveis,78.3,33,,,,
